,nb,highway,position,geometry,check_needed
39,330,A10,58691.317370468,POINT (404603.7096707129 389626.3234886876),False
40,269,A10,8486.79131233295,POINT (381582.3206595097 425677.9147533895),False
41,303,A10,36042.7882100305,POINT (388446.3357166317 400183.5590308471),False
42,336,A10,67779.4929264581,POINT (404706.559127715 380803.6503721347),False
43,625,A10,2454.00040636517,POINT (376072.8015953265 428118.5026489716),False
44,623,A10,162969.356795281,POINT (429028.3081308736 307851.8301171241),False
45,570,A10,132161.171388355,POINT (413154.058305105 329737.4376456648),False
46,309,A10,40348.0228116126,POINT (390197.1436208533 396396.2886246553),True
47,631,A10,47624.4769385876,POINT (395382.3713635009 392695.2048980039),True
48,314,A10,22465.6334568125,POINT (385438.8802102475 412900.7898008027),False
49,317,A10,237515.891066104,POINT (443645.1252545145 302112.7647789142),False
50,285,A10,16861.624864002,POINT (384780.9916426098 418202.2727991944),False
51,639,A10,86725.6492257626,POINT (409313.7185184769 363602.236775133),False
52,632,A11,8040.69030637252,POINT (450263.754002638 298506.2654104746),False
53,7140,A11,20636.4770806442,POINT (452061.5325158493 287579.4175225829),False
54,70,A11,1366.84757295105,POINT (444882.1975578559 301562.6882517891),False
55,382,A12,141531.281880123,POINT (195589.6053172013 368599.2909067136),False
56,644,A12,88572.6422021416,POINT (242398.3674885077 375701.2867040816),False
57,518,A12,76905.0007451776,POINT (253269.2425477454 374313.24066836),False
58,650,A12,93845.2054191115,POINT (237955.3555024843 378286.8746306626),False
59,656,A12,98876.3098087884,POINT (233461.6314036885 380100.7314418065),False
60,662,A12,107151.128688687,POINT (226249.2933663498 379814.8460215694),False
61,152,A12,34602.0505584902,POINT (288608.5503663732 392526.0773405972),False
62,668,A12,118164.590864273,POINT (215886.7946573257 377035.9619884691),False
63,674,A12,126289.726151502,POINT (209339.8891771865 372602.6981378941),False
64,164,A12,45644.1284532895,POINT (279748.8749619065 387067.5316398072),False
65,172,A12,50310.3224642552,POINT (276032.454838538 384543.8379711985),False
66,557,A12,83473.9696210904,POINT (247372.5308569354 375830.1804093988),False
67,8126,A12,132452.223315211,POINT (203437.7355518996 371881.7465231691),True
68,464,A12,65638.9987655567,POINT (263891.2833908966 376974.4873390892),False
69,87,A12,24890.9946722036,POINT (296620.5009350292 397651.8031288211),False
70,96,A12,4278.6113667641,POINT (311084.1420770679 409711.7051784634),False
71,103,A12,6782.43190640758,POINT (309925.4844363231 407494.3093919861),False
72,8046,A12,58084.5911541157,POINT (270264.7664248798 380046.2497398417),False
73,495,A12,71612.1555233863,POINT (258204.8092765292 375701.6824818851),False
74,122,A12,18663.0406481101,POINT (302520.2232900344 399273.7975298804),False
75,638,A12,527.24297373278,POINT (313914.2705700078 412104.5539323566),False
76,307,A13,28568.7599853627,POINT (259252.5491370226 351145.0883010305),False
77,287,A13,25582.4799057482,POINT (259394.4736031134 354074.0014062168),False
78,8045,A13,15385.923393972,POINT (256772.520360662 363192.4218137807),False
79,183,A13,5278.50177207566,POINT (253171.7832478396 370812.3103658898),False
80,578,A14,27070.4878791537,POINT (120893.4238147535 389766.9791285607),False
81,709,A14,59836.7970387979,POINT (133797.7483105701 366592.870753897),False
82,710,A14,2025.17626222045,POINT (131128.7962988314 410515.2223171609),False
83,550,A14,1006.25357507798,POINT (130237.5491646068 411007.2914562981),False
84,584,A14,32949.4023607327,POINT (119790.5058015607 384157.2261402197),False
85,714,A14,20585.9207840668,POINT (124837.2063580116 394737.0318662163),False
86,559,A14,11188.9035771093,POINT (128991.2628902361 402593.5825780738),False
87,560,A14,37019.8527872015,POINT (119576.3300161116 380174.0424531581),False
88,596,A14,57448.3468462413,POINT (132253.8791176862 368361.2364693025),False
89,566,A14,53103.8274373046,POINT (128561.1508317509 370267.0223463512),False
90,697,A14,13429.9903582202,POINT (127905.4883855131 400889.6609472883),False
91,602,A14,58531.3010676167,POINT (133049.4352817757 367657.6758726389),True
92,572,A14,24812.9998027065,POINT (122234.1332776312 391516.27404218),False
93,703,A14,30219.767021914,POINT (119835.7233794512 386830.9842569959),False
94,387,A2,191869.172567214,POINT (555145.2048316326 341389.8023185512),False
95,517,A2,52873.9273808423,POINT (612725.8158006254 430476.9098031272),False
96,394,A2,25224.5119928223,POINT (616550.3448162489 456090.961872218),False
97,11,A2,67533.284691004,POINT (610364.9888499125 417315.2585370864),False
98,395,A2,203201.577945044,POINT (545427.445802003 342531.0895828189),False
99,273,A2,11936.040332108,POINT (624140.0420744632 466057.5510069995),False
100,530,A2,236599.775901794,POINT (518999.1244079749 340645.7869553089),False
101,534,A2,242300.17054083,POINT (515028.2891390504 337906.7294013683),True
102,542,A2,259641.759079315,POINT (513040.377298319 322014.028706589),False
103,543,A2,34280.410150764,POINT (614812.8034086766 447438.3701962694),False
104,551,A2,268544.908895978,POINT (511039.7575088278 313955.1513587239),False
105,558,A2,283487.212456313,POINT (498128.9788346657 309537.6173311833),False
106,563,A2,301778.486186789,POINT (482802.77851111 305683.530344634),False
107,54,A2,334479.775681173,POINT (453959.5233769048 302767.5876847276),False
108,569,A2,319585.27437945,POINT (467727.0002920015 303720.2772099815),False
109,828,A2,150737.982820414,POINT (588008.8197547441 358514.331070538),False
110,60,A2,343485.891003007,POINT (445246.6525655205 302868.3197974875),False
111,190,A2,2142.13243067463,POINT (623165.8861992988 475415.1946728199),False
112,318,A2,15991.4857825258,POINT (623395.6342421592 462181.2612036871),True
113,576,A2,322405.82977212,POINT (465184.0460955179 303635.5850785692),False
114,581,A2,346017.158967675,POINT (443135.5751724429 301591.2551671221),False
115,585,A2,330358.058719043,POINT (457864.7859525385 303461.0098970071),False
116,588,A2,360909.467008231,POINT (430878.1088786292 296331.9372030951),False
117,591,A2,338372.842400611,POINT (450154.1541938077 302248.6939675155),False
118,595,A2,369625.413538521,POINT (424435.365876161 293267.060988325),False
119,212,A2,313373.763241409,POINT (472390.5324315617 306708.4743731699),False
120,858,A2,170001.69645392,POINT (571066.7604862157 353973.1932004026),False
121,348,A2,121302.101666711,POINT (601524.5282712078 373240.2587581953),False
122,480,A2,182779.939816848,POINT (560767.9760075428 347969.6112385808),False
123,354,A2,131573.05650971,POINT (601382.7903939773 363350.8575806756),False
124,615,A2,83946.6957911431,POINT (609266.1267461146 404434.7900310615),False
125,361,A2,144140.038416924,POINT (594202.7243656134 356556.7864558765),False
126,505,A2,45470.9463147598,POINT (614897.9452651719 436961.0025788516),False
127,877,A2,184239.293260619,POINT (559456.4433364366 347329.6266530652),False
128,242,A2,6003.25294590191,POINT (622372.3407375128 471648.2814010154),False
129,244,A2,105817.15168687,POINT (606149.9339980599 384807.6520756498),True
130,373,A2,159209.429993093,POINT (580266.1593740664 358110.4333509056),False
131,886,A2,186799.185586742,POINT (557423.8395480013 345828.8903290639),False
132,633,A2,98313.6143651872,POINT (607514.374215778 391724.2380763197),False
133,417,A21,22949.2615963462,POINT (611252.5286298519 467059.4848688327),False
134,396,A21,35525.9637529156,POINT (621187.144536164 473196.7317552629),False
135,720,A21,10000.0,POINT (600648.8380937139 468537.4294107527),False
136,411,A21,14329.3754963586,POINT (604068.2419846975 466251.7750037194),False
137,763,A21,553.433916502291,POINT (597180.6078182943 475132.2037507876),False
138,421,A22,11813.8264143879,POINT (623905.9321265663 493020.5815460618),False
139,742,A22,8417.23302677104,POINT (625669.6637899235 490118.6066505293),False
140,775,A22,5862.20481590283,POINT (627021.5965242414 487951.6590475508),False
141,39,A22,22740.5905766141,POINT (617773.2111684043 501213.6786097212),False
142,907,A22,3668.74715432919,POINT (628382.4811187846 486232.7020279308),False
143,798,A22,28487.6062200245,POINT (612145.4762290573 501893.3282925044),False
144,785,A22,17314.3132020883,POINT (621627.9399066544 497847.7302140648),False
145,793,A22,26567.0228414095,POINT (614006.306161158 501655.1454859226),False
146,734,A22,348.452158017536,POINT (630713.2561655174 483872.8011879192),False
147,778,A25,14463.0024419196,POINT (453529.6791953074 477167.7262884462),False
148,243,A25,17672.778501727,POINT (450533.3951719322 476181.0990765509),False
149,772,A25,4196.27791095804,POINT (462794.2813948461 477324.2440347243),False
150,231,A25,12589.4334803752,POINT (455384.7538244994 477018.6368532293),False
151,524,A3,9421.06124585226,POINT (626471.6087907702 455194.5621642825),True
152,526,A3,26315.254826501,POINT (634559.3804640225 441318.1080749122),False
153,55,A3,17080.5593614878,POINT (630282.6253832517 448761.8831130316),False
154,67,A4,55191.3665771158,POINT (671716.672409556 455220.5551398725),False
155,136,A4,11942.3188998706,POINT (637875.5269268199 475538.5287146493),False
156,75,A4,65552.430970846,POINT (681319.710523929 454453.0065348873),True
157,47,A4,5121.99139470936,POINT (632381.1482014187 479001.5221903187),False
158,17,A4,26745.7604624845,POINT (650081.4388892753 468621.8244489165),False
159,61,A4,43415.4864943544,POINT (661306.5670669379 459865.6860826653),False
160,980,A4,14601.4703087317,POINT (640424.8126557291 474922.8107271885),False
161,86,A4,2761.62546641466,POINT (630933.6998733247 480627.9013158819),False
162,23,A4,34620.7722812353,POINT (657333.0054349946 466022.4608182415),False
163,29,A4,37470.1182149731,POINT (660052.5017437438 465185.8186336463),False
164,479,A4,61398.9132259231,POINT (677475.3982980448 453255.4432380536),False
165,35,A5,1247.22890493279,POINT (633433.1593525347 500805.1144751448),False
166,4,A5,40062.3259905591,POINT (647324.4754477866 533503.3753134911),False
167,390,A5,21045.4473302022,POINT (641863.6527578371 517325.0771969447),False
168,437,A5,26294.597680991,POINT (643483.2113929392 522025.8619544283),False
169,443,A5,44570.7498930205,POINT (644688.1862690056 536999.5733787542),False
170,762,A6,20446.8808315345,POINT (677007.8491499062 470888.7406820482),False
171,756,A6,2471.56311301809,POINT (663424.3771704406 464793.4079749593),False
172,675,A7,12504.7409301183,POINT (471492.1856501695 491739.8647562445),False
173,649,A7,1994.05838366189,POINT (471668.6750251479 482756.3625160643),True
174,300,A7,6150.91406328355,POINT (471435.9594078622 486875.0319924778),False
175,334,A7,7864.80044737592,POINT (472858.7826176275 487752.1640793977),True
176,657,A7,9882.85225335581,POINT (472868.6675202943 489601.7500011492),False
177,153,A7,19776.3737215118,POINT (477719.2925067827 493447.6038273351),False
178,282,A7,4963.40013012784,POINT (471616.8167716655 485715.1655381846),False
179,162,A8,17817.1990877331,POINT (446055.1636666585 476743.6554264617),False
180,611,A8,37648.6814622209,POINT (427172.5400068669 475530.0200225671),False
181,194,A8,74552.4793157697,POINT (406877.1858099915 499789.5858290642),False
182,169,A8,21956.8071777438,POINT (442218.529846738 475832.6248831346),False
183,491,A8,12818.0469623755,POINT (448239.6373614579 474115.8636823991),False
184,174,A8,48850.7293286772,POINT (418457.2325112676 481888.87160076),False
185,180,A8,60415.8914568195,POINT (410554.8308404495 489024.6146768067),False
186,186,A8,70181.3843013266,POINT (406081.4659052859 495579.8776469793),False
187,606,A8,2694.35491511083,POINT (451161.3322281531 465018.1599894379),False
188,402,A9,71509.5341128052,POINT (473467.7834356091 404521.339978621),False
189,788,A9,165169.285161252,POINT (551423.6775199233 366370.8817342992),False
190,408,A9,90408.7085476335,POINT (490872.2805177607 398665.9971842463),False
191,414,A9,101158.21631444,POINT (500648.1161411658 395725.4909921142),False
192,420,A9,110864.532200632,POINT (508554.0343608888 391113.4759220627),False
193,804,A9,198454.434399283,POINT (562565.9985575953 338412.8638744721),False
194,426,A9,124500.744901102,POINT (521420.4049243711 388136.0305333646),False
195,432,A9,130536.469032473,POINT (526105.8213903734 385209.2873974268),False
196,817,A9,208329.905156352,POINT (566789.8414351804 330136.1505230175),True
197,438,A9,160647.623631798,POINT (549449.2617984428 370164.0943378268),False
198,6070,A9,194328.930049243,POINT (560475.7033988456 341960.4784869258),False
199,444,A9,176141.061771981,POINT (555308.9959345193 357318.8629525249),False
200,446,A9,186306.291566599,POINT (557952.2939368695 349223.2490891527),False
201,6086,A9,137440.085992918,POINT (530329.5108843785 380420.4465114073),False
202,201,A9,3334.87256660289,POINT (454264.4021942631 460045.8801622464),False
203,207,A9,10033.0293241056,POINT (456696.1916958321 453908.7849953935),False
204,463,A9,218816.812585603,POINT (571971.5287412602 321414.6926486311),False
205,6097,A9,57332.2658730408,POINT (474955.2267345932 416531.7323981698),False
206,213,A9,33330.147686975,POINT (463171.6446351378 433733.3407888668),False
207,470,A9,190555.351905136,POINT (558444.7456121178 345140.3947430608),False
208,471,A9,227357.665872957,POINT (576768.3783297742 315212.5620007134),False
209,217,A9,42664.4439328263,POINT (468802.0766650874 428280.9866855254),False
210,350,A9,191234.176274885,POINT (558802.0185267677 344563.3655431913),False
211,223,A9,53306.7079709519,POINT (474627.0801465883 420370.648344391),False
212,618,A9,170865.88090509,POINT (553051.8015486188 361916.9417749355),False
213,352,S10,14842.0476630419,POINT (486485.470803335 508375.5350349775),False
214,346,S10,17050.6761616521,POINT (486747.6287240832 510425.4133115528),False
215,365,S10,7443.27794981155,POINT (485235.5266171964 501947.443234336),False
216,359,S10,8601.62603366693,POINT (485697.2226216287 502964.9638810001),False
217,6,S16,10906.5895323689,POINT (182944.4639975474 363664.1579313261),False
218,9990,S16,42029.0009351704,POINT (153856.4791664821 363859.1109645751),False
219,680,S16,6270.51825730813,POINT (187095.7991175333 363649.2454915944),False
220,715,S16,49082.9395056513,POINT (146981.4644427205 363820.4236901202),False
221,686,S16,18659.0131186082,POINT (175995.8796359762 365299.7058073777),False
222,719,S16,55340.1135107148,POINT (141264.0994162646 366033.9949776224),False
223,8081,S16,24681.5858322647,POINT (170117.9061640557 364580.6501054195),False
224,691,S16,22802.5306672495,POINT (171978.6614589992 364745.1400539047),False
225,8156,S16,1266.90468826067,POINT (191275.1469360568 366049.7088272735),False
226,620,S2,5155.24827749548,POINT (633224.8454872142 489025.4792856395),False
227,2245,S3,14438.8105324676,POINT (605184.414334732 513932.5024890836),True
228,98,S31,36953.0224377335,POINT (631564.4771652747 414493.4485273153),False
229,485,S31,23608.9147174002,POINT (628695.4402347239 426822.3337485125),False
230,104,S31,39183.4610830935,POINT (631813.897623205 412319.7742427934),False
231,532,S31,10150.9760569314,POINT (633528.3212156267 437551.0067459927),False
232,3094,S31,17099.0301576597,POINT (629162.3571926825 432385.6370336108),False
233,92,S31,3383.68802254767,POINT (639258.2180411908 441008.4774930881),False
234,441,S33,12470.5576004233,POINT (576357.1449602975 492214.7458485491),False
235,434,S33,15334.1962258945,POINT (575711.7530250684 489459.0095190239),False
236,659,S33,5912.90745747172,POINT (576836.0324105516 498619.9725943019),False
237,52,S33,24200.2786112143,POINT (573320.9714323024 481092.689176518),False
238,368,S35,34419.683081157,POINT (551842.6210144901 367481.6250886022),False
239,364,S35,26410.2812490529,POINT (550138.076107953 373848.816471888),False
240,453,S35,1000.0,POINT (547295.0892114666 390988.2286372973),False
241,502,S35,18421.4853457478,POINT (551372.9004414706 379148.5343823853),False
242,520,S36,30377.443525932,POINT (504497.3839499053 366606.0115310223),False
243,514,S36,16973.9923985759,POINT (515399.1642293369 372762.4591366576),False
244,508,S36,1857.44204627564,POINT (524923.4355524764 382996.0167429033),False
245,165,S37,10866.6399245264,POINT (478532.666064459 312095.9023850354),True
246,544,S4,16344.1122760821,POINT (616805.4204673856 435999.7750554485),False
247,89,S4,11786.9934587477,POINT (620280.7919356368 436831.2658335866),False
248,538,S4,1416.91402884996,POINT (629775.4381649856 433423.0115099407),False
249,554,S5,31037.8812774036,POINT (582537.8997624173 503816.9399108989),False
250,461,S5,5402.43883027759,POINT (605725.5307402564 500263.2815911046),False
251,484,S6,62140.4280480138,POINT (558531.835156884 402186.3643699089),False
252,490,S6,68214.8557482807,POINT (553907.2526440703 398406.6623315413),True
253,43,S6,19615.6105058181,POINT (592744.0094262199 420512.2142980202),False
254,941,S6,10372.9709364478,POINT (601199.6675639952 423036.4344549943),False
255,784,S6,92732.6768214198,POINT (534640.3658284924 388292.14343754),False
256,469,S6,2580.80550403447,POINT (607854.2986418367 426865.463267786),True
257,380,S6,88402.3630980034,POINT (538473.415697865 390126.5344453921),False
258,478,S6,51754.6747622853,POINT (567463.5830696919 406542.6748018946),False
