Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name
254.0,S31,'Tschurndorf',68.14,2,1,913077236,Parkplatz Tschurndorf
258.0,S33,'Inzersdorf',15.28,1,1,542661862,Rastplatz Inzersdorf
261.0,S35,'Frohnleiten Ost',26.82,2,1,173760625,Pannenplatz
263.0,S36,'St. Marein Süd',14.97,0,1,383433357,Rastplatz St. Marein
264.0,S36,'Strettweg',34.61,2,1,327071181,Parkplatz Strettweg
266.0,S37,'Hunnenbrunnen',285.2,2,1,951738007,
270.0,S5,'Grafenwörth',32.85,0,2,925947138,Raststation Grafenwörth
271.0,S6,'Natschbach',3.22,0,2,96307607,Rastplatz Natschbach
272.0,S6,'Gloggnitz Süd',17.81,2,1,661055664,Parkplatz Gloggnitz
274.0,S6,'Schottwien',23.57,0,2,49360021,Rastplatz Schottwien
276.0,S6,'Schwöbing Süd',48.57,0,1,327068316,Raststation Schwöbing Süd
279.0,S6,'Kapfenberg Süd',72.45,1,1,100496555,Raststation Kapfenberg Süd
