Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,x_coord,nb,on_segment,evaluated_dir
96.0,A13,'Wipptalerhof Ost',22.41,2,1,372332549,Wipptaler Hof,POINT (257957.6361409174 356537.8133319344),22381.98558614899,257980.9635327768,32,1,1
98.0,A13,'Plon',23.61,2,1,560743764,Plon,POINT (258048.5637658708 355504.8997464794),23556.38848814284,258067.1956737039,33,1,1
102.0,A13,'Gries West',29.54,0,0,239796021,Raststation Gries West,POINT (258788.964405628 350373.974978885),29475.082108024984,258763.5181514459,34,1,0
101.0,A13,'Gries Ost',29.15,0,1,123855799,Raststation Gries Ost,POINT (258881.0933643228 350639.2244328351),29194.281593531843,258913.4334568309,35,1,1
99.0,A13,'Nößlach',26.91,1,2,152309579,Nößlach,POINT (259410.829097612 351959.4340681284),27714.67115167786,259434.8126629056,36,1,2
100.0,A13,'Nößlach',26.91,2,1,152309579,Nößlach,POINT (259410.829097612 351959.4340681284),27714.67115167786,259434.8126629056,37,1,1
103.0,A13,'Brennersee - Fröhlich',32.6,2,0,776721687,Brennersee,POINT (260958.6138354837 348419.2635504883),32553.880013910424,260950.0456794845,38,1,0
104.0,A13,'Brennersee',33.44,0,0,372330818,Raststation Brennersee,POINT (261176.2555095925 347696.848369165),33383.16401416584,261146.1962436659,39,1,0
105.0,A13,'Brennerpaß',34.16,0,2,372330817,Raststation Brennerpaß,POINT (261349.033675694 347007.3977877621),34101.63398343049,261398.2313802385,40,1,2
73.0,A12,'Hall in Tirol',66.28,2,0,460585087,Rastplatz Koreth,POINT (263325.868575283 376843.4885243365),66219.4051681823,263320.9913124482,41,2,1
72.0,A12,'Volders/Karlskirche',64.18,2,1,460585269,Rastplatz Karlskirche,POINT (265295.2876664221 377417.9215120877),64162.31571697871,265315.4427097783,42,2,0
71.0,A12,'Weer Süd',55.0,1,1,189520403,Rastplatz Weer Süd,POINT (273099.3778359953 381196.6994779138),54962.42769551398,273119.2032440567,43,2,0
70.0,A12,'Weer',54.8,0,0,189520404,Raststation Weer Nord,POINT (273191.6609073784 381231.1625821185),54863.90413569062,273177.3755848916,44,2,1
69.0,A12,'Vomp',50.47,0,1,460590151,Raststation Vomp,POINT (275965.8976161044 384466.7649302818),50412.174685648846,276017.2477628621,45,2,0
68.0,A12,'Münster Süd',36.25,1,1,271726056,Münster Süd,POINT (287450.5960093274 391238.1924203712),36364.41054713728,287475.4917821485,46,2,0
67.0,A12,'Münster Nord',35.71,1,0,271726057,Münster Nord,POINT (287914.9782308006 391556.9597780274),35800.77801441017,287891.8951937077,47,2,1
66.0,A12,'Angath Nord',14.22,0,2,263997273,Angath-Nord,POINT (304666.2149935776 402841.3545797577),14101.92536185243,304578.7943139818,48,2,2
65.0,A12,'Angath Süd',14.1,0,2,57375373,Angath-Süd,POINT (304666.6032610879 402842.2643252146),14100.936369992787,304722.0445451084,49,2,2
64.0,A12,'Langkampfen Süd',9.32,2,1,736284304,,POINT (312703.7511174977 411126.6718106237),2098.380581805528,312749.7841547782,50,2,0
39.0,A1,'Walserberg Süd',300.71,0,1,322551672,Walserberg Süd,POINT (371116.160552835 429979.3559381051),292024.9587453794,371117.9378952289,51,3,0
40.0,A1,'Walserberg Nord',300.73,0,0,322551671,Walserberg Nord,POINT (371216.7675221661 429982.3055479044),291924.3082065468,371215.5212896587,52,3,1
41.0,A10,'Glanegg/West',4.28,2,0,720563664,P4,POINT (375608.675636243 428617.8585301626),1770.4871728419944,375588.8247198838,53,4,0
42.0,A10,'Untersberg/Ost',4.37,2,1,893773171,,POINT (375688.9857085537 428518.7672035696),1898.0363624747015,375718.8865037689,54,4,1
38.0,A1,'Kasern',287.89,0,0,67810346,Kasern,POINT (379959.1041185454 436814.2977025357),279165.959129779,379965.1866849827,55,5,1
37.0,A1,'Söllheim',286.46,0,1,67810341,Söllheim,POINT (380809.5132664257 437797.2150690713),277761.8444693356,380836.8763759326,56,5,0
43.0,A10,'Bruderloch',17.53,2,1,191364532,Rastplatz Bruderloch,POINT (384249.7735320926 419942.8665671056),15039.738222152006,384281.7510483056,57,4,1
45.0,A10,'Golling West',28.82,0,0,206566678,Raststation Golling West,POINT (386781.0617351537 409401.988120184),26258.742463243794,386665.6111077745,58,4,0
44.0,A10,'Golling Ost',28.76,0,1,200300459,Raststation Golling Ost,POINT (386766.8523670079 409433.2682768569),26224.385284414508,386826.7011905757,59,4,1
35.0,A1,'Salzburger Vorland',277.55,2,1,530994135,Salzburger Vorland,POINT (388717.4669849112 439016.0512829994),268866.709267308,388715.2579772896,60,5,0
46.0,A10,'Werfen',40.34,2,0,530029927,,POINT (389220.0389283624 398671.2053548755),37817.93385690162,389206.2021239441,61,4,0
34.0,A1,'Enzersberg',274.82,2,0,67810359,Enzersberg,POINT (391287.6000880501 439565.7556625793),266135.99020701525,391289.7080105876,62,5,1
