Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
182,A4,'Fischamend',22.33,1,0,157107389,Rastplatz Fischamend,POINT (647755.8366565057 471376.1000652218),23119.4982622661
184,A4,'Göttlesbrunn',28.04,0,2,525427828,Raststation Göttlesbrunn,POINT (651823.8253018593 467339.483749786),28897.0499829454
186,A4,'Neusiedl',47.01,2,0,666371707,Rastplatz Neusiedl,POINT (665050.1524660793 458043.7360210589),47732.2343970094
187,A4,'Nickelsdorf Süd',64.65,0,0,342598797,Raststation Nickelsdorf Süd,POINT (681173.5546972395 454342.2530852788),65405.1340120005
191,A5,'Hochleithen',10.63,0,2,42217069,Raststation Hochleithen,POINT (637914.9142296079 507927.045338552),10075.3962511859
192,A6,'Potzneusiedl',10.8,0,2,46158787,Rastplatz Potzneusiedl,POINT (670513.7452634472 465570.2468047387),10738.1512840644
195,A7,'Denk',25.76,1,0,189919124,Rastplatz Denk,POINT (483190.2215469718 494858.4157010064),25748.2082749607
196,A8,'Voralpenkreuz',0.17,0,2,47030388,Voralpenkreuz,POINT (452344.349495513 463254.9889435243),437.544715952789
198,A8,'Oberham/Nord',18.32,2,0,376844441,Parkplatz Oberham Nord,POINT (445419.2738178434 476722.7469265913),18458.1170448116
200,A8,'Kematen/Nord',24.85,2,0,532884392,Parkplatz Kematen Nord,POINT (439261.2969947135 475739.7629321066),24993.1862341752
201,A8,'Aistersheim',33.81,0,2,245596053,Raststation Aistersheim,POINT (430758.2100374589 475593.3085917626),33951.0145907155
202,A8,'Gotthaming',43.74,2,0,376944495,Parkplatz Gotthaming,POINT (422394.57208572 478857.4341825068),43847.859991169
,A8,'Grübl/Nord',49.61,2,0,81305333,Grübl Nord,POINT (417653.8197867699 482225.9951059376),49721.1812166734
206,A8,'Murau Ost',56.88,1,0,189139728,Rastplatz Murau Ost,POINT (411972.4879913593 486047.9175938376),57052.6241691495
