Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,traffic_flow,energy_demand
50,A10,'Eben Nord',59.32,0,2,404477039,Raststation Eben-Nord,POINT (403770.5792237686 391334.4426845374),56754.9032721997,15556.9979338782,71.9471637283723
52,A10,'Tauernalm',79.79,0,2,200145931,Raststation Tauernalm,POINT (407008.1463603936 372061.4315096087),77278.9218622281,10619.2131625113,44112.7469189292
54,A10,'Lanschütz',100.6,1,1,529488602,Lanschütz,POINT (418583.0685941336 357606.7125466375),98049.1739721768,10558.5,33491.7098286973
56,A10,'Ried’,116.47,2,1,579663993,Parkplatz Ried,POINT (421999.730530755 343883.4747392475),113909.243976769,7303,13765.2894082998
57,A10,'Eisentratten',125.92,0,2,404473862,Raststation Eisentratten,POINT (418830.9453438835 335556.5502592363),123333.651349287,7303,23123.3443540302
58,A10,'Seeboden',141.72,2,1,450117702,,POINT (412975.6229934532 323756.9880422672),139165.052385868,14455,36156.364361422
60,A10,'Kamering',154.29,2,1,894068048,Parkplatz Kamering,POINT (420547.8402652538 314722.316202654),151671.577588712,14749.7038625137,22698.628013918
61,A10,'Feistritz an der Drau',162.01,0,2,894093001,Raststation Feistritz,POINT (425806.2178627966 309419.4194663895),159366.182248405,14750,63411.3157209837
62,A11,'St. Niklas/Nord',2.11,2,1,528526630,Parkplatz St. Niklas Nord,POINT (445558.1419645398 301212.7931256008),2126.47541577285,7503,10409.0861514259
63,A11,'Rosegg',9.04,0,2,528652488,Rosegg,POINT (451138.4931818426 297968.0198626479),9063.09153694166,4802,11637.9934905201
64,A12,'Langkampfen Süd',9.32,2,1,736284304,,POINT (312749.7841547782 411068.5465288756),2098.38058180553,11349.5859166424,27244.8076274651
65,A12,'Angath Süd',14.1,0,2,57375373,Angath-Süd,POINT (304722.0445451084 402818.6027073953),14100.9363699928,19315,3.82047555363476
66,A12,'Angath Nord',14.22,0,2,263997273,Angath-Nord,POINT (304578.7943139818 402878.664587032),14101.9253618524,19315,85999.9802707554
68,A12,'Münster Süd',36.25,1,1,271726056,Münster Süd,POINT (287475.4917821485 391198.3322610573),36364.4105471373,18162,51027.0984567292
69,A12,'Vomp',50.47,0,1,460590151,Raststation Vomp,POINT (276017.2477628621 384424.0945714215),50412.1746856488,24431.9999999911,22234.3563073972
71,A12,'Weer Süd',55,1,1,189520403,Rastplatz Weer Süd,POINT (273119.2032440567 381141.2017820702),54962.427695514,24141.0019875313,44418.9030022489
72,A12,'Volders/Karlskirche',64.18,2,1,460585269,Rastplatz Karlskirche,POINT (265315.4427097783 377383.7545818247),64162.3157169787,27543,89230.8737530962
75,A12,'Sieglanger',80.39,2,1,204383389,,POINT (249963.5342765586 374542.5810374356),80360.7824332217,31124.7934314905,96002.7279290709
78,A12,'Pettnau',95.81,0,2,47030786,Raststätte Pettnau,POINT (236069.536350749 378408.4979657655),95783.0097550487,19033,28529.3494812965
79,A12,'Telfs Süd',103.3,2,1,401248683,,POINT (229991.6990099435 380667.748604301),103277.716181071,13364.7779394021,40593.4396996822
81,A12,'Haiming Süd',118.5,2,1,533546631,,POINT (215619.2079138759 376893.8404517579),118464.440526114,10702,32071.4494657395
82,A12,'Imst Süd',133.49,2,1,401260331,Imst Süd,POINT (202443.4855281343 371899.9438600852),133448.29843386,9240,3679.21104332994
84,A12,'Mils',135.51,0,2,401257103,Trofana Tyrol,POINT (200497.5630784137 371607.5573271295),135439.213500597,9240.0000000008,18488.872433764
92,A13,'Europabrücke',8.27,0,2,320569653,Raststation Europabrücke,POINT (253427.4126027939 368187.6446535956),8216.48207038687,20615,23936.2314378052
93,A13,'Gschleirs',14.05,2,1,123855817,Gschleirsbrücke,POINT (256151.6177143916 364389.9210254311),14022.019649287,14822,8546.70428173758
95,A13,'Matrei Ost',16.95,0,2,370306111,Raststation Matrei Ost,POINT (257122.9535760355 361737.0759592641),16905.1340338969,14822,16235.5787414961
96,A13,'Wipptalerhof Ost',22.41,2,1,372332549,Wipptaler Hof,POINT (257980.9635327768 356524.7362005234),22381.985586149,10896.0000000005,2559.258804025
