ID,segment_id,pois_type,dir,dist_along_segment,demand_0,demand_1,tc_0,tc_1
33,1,ra,1,22379.542075494417,,0.0,,10896.000000000491
34,1,ra,0,22507.496833677116,15536.942879973707,,11615.00000000063,
35,1,ra,1,23570.468790533436,,9136.613232290256,,10896.000000592541
36,1,ra,2,27721.26496153286,12166.115956442914,2595.2092800198716,12028.042587285425,11587.014375885095
37,1,ra,1,27721.26496153286,,14725.426760360053,,11587.014375885095
38,1,ra,1,29194.630965596883,,8547.847400000004,,11601.997640835829
39,1,ra,0,29478.47368022978,4229.979355204671,,12036.999740077626,
40,1,ra,0,32563.18361539153,7426.10677127452,,12036.999999999998,
41,1,ra,0,33381.72336961185,1970.4569000000004,,12037.0,
42,1,ra,2,34103.260493060356,1736.9391000000005,19680.59014509891,12037.0,11602.0
43,1,link,2,34449.34645750041,833.0807700000004,33883.6386,12037.0,11602.0
44,2,link,2,0.0,0.0,0.0,34086.0,35540.0
45,2,ra,1,2598.411645460739,,40960.96752173518,,35540.0
46,2,ra,1,8569.053436632099,,3.7825199999999946,,28148.00000000243
47,2,ra,0,10626.142884180916,66599.68115614579,,27542.999999999996,
48,2,ra,0,19826.030918871555,45983.99011956246,,24141.001987531643,
49,2,ra,1,19924.554475399083,,82789.56920564806,,24110.000189607734
50,2,ra,0,24376.283905318953,22189.820269557422,,24431.999999991072,
51,2,ra,0,38424.04808590371,63825.88535029415,,18162.0,
52,2,ra,1,38987.68062551749,,89060.38678462441,,18334.0
53,2,ra,2,60686.533174562566,83431.3481452521,58275.42700478339,19314.999999999975,19907.999999999975
54,2,ra,2,60687.52230976862,3.6698499999999967,38881.8019536678,19314.999999999978,19907.99999999997
55,2,ra,0,72690.07831806442,36996.954035766634,,11349.585349178342,
56,2,link,2,74788.45855603463,4652.391717209992,18469.427200000002,11067.000045278133,9578.0000706629
57,3,link,2,0.0,0.0,0.0,14880.0,12964.0
58,3,ra,0,291.13911748382634,866.3136000000001,,14880.000000000002,
59,3,ra,1,391.78966271765654,,5532.775920000001,,12964.0
60,3,link,2,2525.7146416492456,6650.0208,1015.7294,14880.0,12964.0
61,4,link,2,0.0,0.0,0.0,30225.0,29897.0
62,4,ra,0,2968.020333954235,17941.56,,30225.0,
63,4,ra,1,3095.56953512974,,50829.69623457311,,29896.999999999996
64,4,ra,1,16237.271375263124,,18822.52638,,24263.0
65,4,ra,1,27421.918402146952,,22423.602613786457,,19419.0009800056
66,4,ra,0,27456.275537656256,120758.9623072181,,19875.00066828796,
67,4,ra,0,39015.46701875681,45293.88209413611,,19354.0,
68,4,ra,0,45463.26975095437,23435.64884950779,,16224.0,
69,4,ra,0,48702.0526758811,10509.096000000005,,16224.0,
70,4,ra,1,48702.51572346263,,36048.586655982566,,15928.0
71,4,ra,2,57952.436449648114,29794.216180876294,39132.00223619627,15997.16325881976,14642.804771638943
72,4,ra,2,57975.56024030675,73.90746846542207,14566.352639999996,15997.41661988454,14588.906665688752
73,4,ra,0,69989.22632739297,32936.27655483956,,10976.0,
74,4,ra,2,78476.45534742385,18630.416208808187,27232.515966513398,10903.654369791997,10334.771092593772
75,4,ra,0,96645.26673532616,39524.57142037222,,10877.0,
76,4,ra,1,99246.70723666706,,42538.05475687902,,10240.0
77,4,ra,0,111094.71271846603,26286.116690497485,,6878.0,
78,4,ra,1,115106.77725839663,,31809.225369430045,,7728.0
79,4,ra,2,124531.18468963403,18483.180619999992,67.52760504598974,6878.0,7728.0
80,4,ra,1,140362.5855885071,,28649.94491514712,,14410.0
81,4,ra,0,140910.1138496373,41403.82715022911,,14500.0,
82,4,ra,1,152869.11081330507,,76716.14583660512,,14570.838379291215
83,4,ra,2,160563.71538932095,57668.57025451081,48613.91453090236,14929.0,14571.0
84,4,ra,2,167022.61670697512,19284.98362000001,69437.77651506236,14929.0,14571.0
85,4,link,2,182066.45484822014,51602.41539766877,18509.531670000004,18662.0,18474.0
86,5,link,2,0.0,0.0,0.0,31659.00004502235,32359.00004960761
87,5,ra,1,10624.424038435742,,76919.67208000003,,38922.84956623719
88,5,ra,0,12028.538687185457,82441.26399171265,,28864.53747289611,
89,5,ra,0,20923.673987528404,45942.76893736959,,21776.0,
90,5,ra,1,23654.39300837562,,77819.16143355095,,21891.999995182963
91,5,ra,0,27817.953337431485,27822.703661921536,,18111.0,
92,5,ra,1,29511.259133254804,,42417.05792211971,,18793.0
93,5,ra,2,39273.39357565199,41277.96053102102,23297.29062733079,15333.000799448959,15727.000882329197
94,5,ra,1,47330.36386477938,,25342.33053455113,,15727.000000000002
95,5,ra,1,54724.034568688665,,36453.66490700595,,17111.546806340113
96,5,ra,0,54808.46507060479,47708.21816722447,,16828.674833697667,
97,5,ra,1,67696.58292643339,,22731.217392735954,,15023.0
98,5,ra,0,67916.71774036821,43936.44653476584,,16641.0,
99,5,ra,1,86150.64463711552,,68763.30862115057,,24091.0
100,5,ra,0,86198.21188888987,77253.45159571947,,24205.0,
101,5,link,2,102115.05106186114,77053.22880000001,76859.71439063636,24205.0,24091.0
102,6,link,2,0.0,0.0,0.0,9186.000000000005,8017.000000000004
103,6,ra,0,1229.5619294335402,2258.9292600042295,,9186.00000018496,
104,6,ra,1,3961.109531202206,,13920.513852372109,,8833.364706433147
105,6,ra,0,4398.318016945725,5930.2600435664135,,10055.216354628968,
106,6,ra,1,19100.037855584003,,22978.088343943422,,13536.0
107,6,ra,0,19123.313502380493,36427.95999159595,,14172.0,
108,6,ra,0,26419.747157988535,20520.341849540415,,14008.0,
109,6,ra,1,26439.337911816343,,28176.16100327416,,13574.0
110,6,ra,0,31550.90572936302,14375.429839999997,,14008.000000000126,
111,6,ra,1,32304.54207897572,,29517.117764823262,,13574.001912868445
112,6,ra,2,42213.94659999393,33538.279144087915,15922.844977079918,15977.0,14979.0
113,6,ra,1,51171.13742087193,,19906.308347751816,,16374.0
114,6,ra,0,55341.5561750109,45030.50932280334,,17695.740932789486,
115,6,ra,1,57703.65884021054,,34723.52777786014,,21938.95712012658
116,6,ra,0,59273.63771982631,17723.43500021486,,24053.999999886517,
117,6,link,2,60876.22424217983,7709.547539997256,6391.414866447205,24054.000000000004,21939.0
118,7,link,2,0.0,0.0,0.0,5578.0,6070.0
119,7,ra,2,6667.955447556553,8462.512906410793,20284.03219000001,9325.999999824446,9394.99999984426
120,7,ra,2,6721.474926778252,99.78819999877801,26270.487751277353,9325.999999930877,9394.999999938678
121,7,ra,0,18033.13088436452,22137.54808732927,,14962.999999993477,
122,7,ra,1,19154.173419550934,,100.52649999891592,,16517.0
123,7,link,2,25294.541879356693,21730.46563999995,9003.098803285988,14963.0,16517.0
124,8,link,2,0.0,0.0,0.0,7782.0,7503.0
125,8,ra,1,2119.208431816149,,11345.130226612588,,7502.999999999998
126,8,ra,2,9055.824498122218,10632.292618109772,8054.164604925004,3810.9999999999995,4802.0
127,8,link,2,21173.685305885127,11030.291482387343,3180.07152,5122.0,4588.0
128,9,link,2,0.0,0.0,0.0,15507.0,15457.0
129,9,ra,0,6516.744210977159,21995.14674769931,,19615.99995894241,
130,9,ra,1,6527.406485592576,,23550.593323783665,,17176.999990286666
131,9,ra,2,15445.371783397328,31948.375265550127,41813.05972708217,18623.99999877609,19452.99999835759
132,9,ra,0,21672.621808902088,23618.029800878205,,19384.999363787716,
133,9,ra,1,26271.134363398323,,31261.235186385533,,19027.003852977083
134,9,link,2,33157.12684688381,39288.396600746666,20929.36172199129,14939.000000000002,15956.0
135,10,link,2,0.0,0.0,0.0,16084.000000000002,15548.999999999998
136,10,ra,2,14793.406531478646,39212.72590060429,875.2324200000003,10372.0,10081.0
137,10,link,2,15227.535521101405,900.4970400000002,37987.57417090062,10372.0,10081.0
138,11,link,2,0.0,0.0,0.0,24989.999999968946,23414.00000001856
139,11,ra,2,6967.487148144968,34029.7629769477,25188.597200000004,24802.359532114573,25170.822373108873
140,11,ra,0,13790.453803890343,32370.19071337332,,21271.0,
141,11,ra,1,14053.388239050713,,33946.985782586264,,21620.0
142,11,link,2,19878.69006465457,25900.420439999987,33326.23428364087,21270.999999999996,21620.0
143,12,link,2,0.0,0.0,0.0,26546.0,26603.0
144,12,ra,0,13722.635716121396,67286.80936418954,,22273.000000000004,
145,12,ra,1,13775.369179933106,,31243.071319999995,,22478.0
146,12,link,2,20725.095833182608,31193.113770000004,67873.28584293513,22272.999999999996,22478.0
147,13,link,2,0.0,0.0,0.0,13189.0,12948.0
148,13,ra,1,12655.942184112282,,24135.264633173658,,10503.000000000002
149,13,ra,0,12725.578213621588,31136.291588316086,,11055.0,
150,13,ra,2,36309.89528647439,44384.89359416446,175.90860000000006,7033.0,6940.999999999999
151,13,ra,1,54986.89266391457,,61941.05700345888,,7591.971611769372
152,13,ra,0,55258.29185590623,28074.076142507467,,8230.855228106213,
153,13,ra,1,66083.67621640122,,13223.21841000001,,13083.999999877304
154,13,ra,0,66152.77490552708,17822.928783908283,,13361.999999983376,
155,13,ra,1,77946.04973971119,,17883.96109062002,,13084.0
156,13,ra,0,78200.60924634892,32196.540719999888,,13362.0,
157,13,ra,2,85720.88488710183,17683.49100195331,31041.39747999914,10619.0,10287.0
158,13,ra,1,92148.0377185692,,16848.14964091811,,10287.0
159,13,ra,0,94057.54061788357,17705.377270000005,,10618.999999999998,
160,13,ra,0,106351.19825280693,26817.269511567563,,10953.0,
161,13,ra,1,121193.59149027106,,26664.364690641425,,10926.0
162,13,ra,2,121274.1282993086,31720.420333216516,42815.00163915698,11028.0,10926.0
163,13,link,2,132616.96921985535,24036.009600954814,30022.30585311285,9977.0,10229.0
164,14,link,2,0.0,0.0,0.0,47268.7017545243,46926.65989347599
165,14,ra,0,4629.4826205716145,43508.29152977543,,46681.64620520501,
166,14,ra,1,4633.73189838993,,18932.38280585407,,48225.588967150274
167,14,link,2,6596.600389256655,18365.280505985607,44059.27416005306,46681.00142505333,48226.99684694834
168,15,link,2,0.0,0.0,0.0,45638.99978122407,47155.91106192786
169,15,ra,1,25738.743223846097,,37535.63698878793,,19343.999999999996
170,15,ra,0,25740.902218562274,153940.43013357194,,18850.999999999996,
171,15,link,2,48631.17855592899,36311.2039538612,143869.8677081391,4347.000000018982,4625.000000018259
172,16,link,2,0.0,0.0,0.0,40165.0,39632.0
173,16,ra,1,12316.838553333739,,56019.384390000036,,29791.88732837841
174,16,ra,0,12575.946688510528,93288.33793639886,,29648.737115144788,
175,16,ra,1,16134.114142764382,,83891.7687755529,,26232.408315204477
176,16,ra,1,21914.858259472156,,63023.380402019364,,27181.0
177,16,ra,0,25449.08031583349,72308.72572145406,,28172.0,
178,16,ra,1,32933.75197391795,,72584.56799311323,,25773.0
179,16,ra,0,38451.58951628131,70986.37546571928,,26849.692063681472,
180,16,ra,1,44683.89501608103,,94628.22150604449,,24685.0
181,16,ra,0,49497.46890143416,56442.394293960024,,25407.0,
182,16,ra,1,49565.51842080065,,24567.996157968315,,25545.0
183,16,ra,1,67595.96875209869,,59327.387438453676,,26898.000000000207
184,16,ra,0,68666.07464325256,101033.47531045447,,27161.404450552083,
185,16,ra,1,81021.89267340553,,59020.69339512457,,27047.999999999996
186,16,ra,0,92123.37906601596,133184.47314473477,,29188.0,
187,16,ra,1,92203.5095301381,,30809.075465274294,,28377.000000000004
188,16,ra,2,106046.11656904333,85991.47230450768,21475.79985657461,35565.0,35583.0
189,16,link,2,113917.81076099534,55991.04645,90901.08692926078,35565.0,35583.0
190,17,link,2,0.0,,,,
191,17,link,2,109.92504458050965,,,,
192,18,link,2,0.0,0.0,0.0,13588.0,13362.0
193,18,ra,0,12318.138045343778,33475.668560000006,,13588.0,
194,18,ra,1,12346.305678813724,,26049.86002328292,,13362.0
195,18,ra,2,27186.329383912336,35469.27237187903,70731.73949162263,10354.0,10779.0
196,18,ra,1,33051.80754910234,,26527.476630000037,,10779.0
197,18,ra,1,43226.7291306564,,12416.751184351895,,12420.0
198,18,ra,0,43271.67783343029,35090.10226536755,,11607.0,
199,18,ra,1,49245.07403070798,,41453.9786545723,,11358.00000122789
200,18,ra,0,52243.22259941621,20255.214084241616,,10919.0,
201,18,ra,1,69644.27000435877,,14704.516849665,,8465.000000000002
202,18,ra,0,69682.01059961213,35148.63605350936,,9188.999999999998,
203,18,ra,2,76811.9776614867,12223.307539650199,24252.363555664087,8121.000000000001,8807.0
204,18,ra,0,91803.7907317536,24349.68155999999,,8120.99999999981,
205,18,ra,1,91872.46119703977,,12644.737109999998,,8807.000000005364
206,18,ra,2,121334.73270596893,60926.58183102024,35715.68816081626,20682.00167375098,21967.002556390602
207,18,link,2,126075.53174156268,23028.550434485438,32994.252120000005,25911.999999999978,29954.99999999997
208,19,link,2,0.0,0.0,0.0,9830.0,10058.0
209,19,ra,1,7445.467067642459,,4268.916939999998,,10058.0
210,19,ra,0,16091.203186658546,31635.299200000005,,9830.0,
211,19,ra,1,16097.39958236941,,17404.162039999992,,10058.0
212,19,link,2,18219.57712193098,4184.3361,14977.267219999994,9830.0,10058.0
213,20,link,2,0.0,0.0,0.0,9701.0,9780.0
214,20,ra,1,1524.745124413464,,31719.130353714907,,9780.0
215,20,ra,0,2620.223388852373,5083.712040000002,,9701.0,
216,20,ra,0,22308.899934453435,38952.32791886312,,10133.0,
217,20,ra,1,22364.44986396924,,41311.08031498127,,10093.0
218,20,link,2,37253.22848420508,31885.05672468407,2982.3132000000005,10984.0,10979.0
219,21,link,2,0.0,0.0,0.0,11074.0,10575.0
220,21,ra,0,2386.044949973691,5284.5128,,11074.0,
221,21,ra,0,3012.1290844347345,1386.57554,,11074.0,
222,21,ra,1,3039.0983120288315,,7431.686720000004,,10575.0
223,21,ra,1,6552.729445127654,,17781.89568000001,,10575.0
224,21,ra,0,6682.421351034726,8128.869699999999,,11074.0,
225,21,ra,1,17934.803023951248,,8262.392640000004,,11512.0
226,21,ra,1,21523.4301002063,,24364.16281102495,,11512.0
227,21,ra,0,21602.960316318997,33780.08712304895,,11777.0,
228,21,ra,2,29246.642192588224,18003.853210000012,7431.264,11777.0,11512.0
229,21,link,2,32474.473610155062,7602.760120000004,6427.59075,11777.0,11512.0
230,22,link,2,0.0,0.0,0.0,9277.0,8774.0
231,22,link,2,25496.14409205573,51962.94826838517,50819.20652127603,11263.0,11366.0
232,23,link,2,0.0,,,,
233,23,link,2,348.03095811518665,,,,
234,24,link,2,0.0,0.0,0.0,12923.0,12864.0
235,24,ra,0,7001.124876882881,18095.043059999993,,12923.0,
236,24,ra,1,7412.431770776676,,6280.968540000001,,12864.0
237,24,ra,1,10447.761196686972,,33987.425648970195,,12864.0
238,24,ra,0,30840.569189513226,55092.53647147996,,9569.0,
239,24,ra,1,30857.334061915193,,8175.18675,,9945.0
240,24,ra,2,55766.148613356316,43365.016832067144,44624.20583779845,7862.0,8009.0
241,24,ra,1,60869.921190091074,,46628.46158872006,,8009.0
242,24,ra,0,61482.20453545483,8987.917020000006,,7862.0,
243,24,ra,2,76000.7341358558,33142.78443892279,7809.21984,14467.0,14441.0
244,24,link,2,78175.47480337396,6292.276980000002,19070.622720000007,14466.999999999998,14441.0
245,25,link,2,0.0,0.0,0.0,9037.0,9408.0
246,25,ra,0,25610.567570788568,43979.62222996082,,9816.0,
247,25,ra,1,25630.335494294766,,18264.062411447703,,9690.0
248,25,link,2,35248.172611532704,18758.384343550915,44975.85666550688,9660.0,9329.0
249,26,link,2,0.0,0.0,0.0,19524.000000000025,19827.000000000033
250,26,ra,0,3979.7302980034588,15626.983318805564,,20432.10807037365,
251,26,ra,1,21983.567070926903,,12822.772560000003,,29999.0
252,26,link,2,24120.776253598797,94959.68936721534,95826.04386220183,31406.0,29999.0
253,27,link,2,0.0,0.0,0.0,33913.61793040669,34520.39998813702
254,27,ra,0,15398.281487957354,98721.38216094178,,29743.0,
255,27,ra,1,15788.230047158857,,15604.414559999997,,27470.0
256,27,ra,2,32030.585088502547,82224.58293099962,73904.60741666413,16966.000546948206,19529.000463626056
257,27,ra,0,38562.65497112158,22164.189053941296,,16946.19369770551,
258,27,ra,0,51994.455333056,43879.39148076849,,14879.0,
259,27,ra,1,52217.78598274018,,65611.66115632236,,16035.000000000002
260,27,ra,1,72827.55215101411,,22969.240055125792,,14612.110971934386
