Unnamed__0,nb,highway,position,check_need,geometry,x_coord,on_segment,dist_along_segm
75,638,A12,527.24297373278,0,POINT (313914.2705742501 412104.5539233565),313914.2705700078,2,74261.21562714381
13,5022,A1,291115.900105,0,POINT (372024.7570705836 430007.9242036037),372024.7570702112,3,1200.197743727603
8,277,A1,286529.907374,0,POINT (374208.6007433451 433403.3858994312),374208.6007608552,5,3260.4758457851767
16,305,A1,284453.689879,0,POINT (375222.7788957548 435212.8149998682),375222.7788957349,5,5336.693341650239
11,286,A1,283582.023043,0,POINT (375722.3384180896 435925.3969438786),375722.3384103139,5,6208.360173774115
43,625,A10,2454.00040637,0,POINT (376072.8015799535 428118.5026299052),376072.8015953265,4,3651.5335709370916
23,82,A1,280794.277412,0,POINT (378345.4580681036 436808.1280455969),378345.4580691092,5,8996.105801139933
40,269,A10,8486.79131233,0,POINT (381582.3206681445 425677.9147712184),381582.3206595097,4,9684.32447600748
28,492,A1,275983.369289,0,POINT (381741.7138965537 439083.0266878809),381741.7138987377,5,13807.013929290522
50,285,A10,16861.624864,0,POINT (384780.991621794 418202.2727952093),384780.9916426098,4,18059.158010081905
48,314,A10,22465.6334568,0,POINT (385438.8801743524 412900.7897930043),385438.8802102475,4,23663.16661567191
38,297,A10,27045.2197391,0,POINT (387138.454208505 408703.6949432216),387138.4542053328,4,28242.752913090382
6,272,A1,269357.220572,0,POINT (388238.8201018772 439119.3822266198),388238.820105152,5,20433.16264874701
41,303,A10,36042.78821,0,POINT (388446.3357528111 400183.5590412368),388446.3357166317,4,37240.32137787116
46,309,A10,40348.0228116,1,POINT (390197.1436173802 396396.2886220418),390197.1436208533,4,41545.55598460751
47,631,A10,47624.4769386,1,POINT (395382.3713658947 392695.2049116803),395382.3713635009,4,48822.01013457571
4,265,A1,260598.977401,0,POINT (396557.3058764448 438233.5194291425),396557.3058690598,5,29191.405822571887
35,323,A10,56216.7788369,0,POINT (403236.1792370722 391452.1699511943),403236.1792312884,4,57414.312043879894
39,330,A10,58691.3173705,0,POINT (404603.7096774949 389626.3234897629),404603.7096707129,4,59888.850586572116
42,336,A10,67779.4929265,0,POINT (404706.5591588218 380803.6503740798),404706.559127715,4,68977.02615065529
186,186,A8,70181.3843013,0,POINT (406068.0778148883 495581.4711745561),406081.4659052859,6,5962.973426107489
181,194,A8,74552.4793158,0,POINT (406864.2277363849 499792.6038283209),406877.1858099915,6,1590.284775588434
5,144,A1,241211.861886,0,POINT (407913.8823551878 443767.915147061),407913.8823478951,5,48578.52135287282
51,639,A10,86725.6492258,0,POINT (409313.718506479 363602.2367424465),409313.7185184769,4,87923.1824588615
185,180,A8,60415.8914568,0,POINT (410544.6538141786 489013.5599732775),410554.8308404495,6,15739.939221764194
45,570,A10,132161.171388,0,POINT (413154.0582983788 329737.4376465009),413154.058305105,4,133358.70460448894
37,613,A10,140072.32255,0,POINT (413776.8855405147 323336.8248454627),413776.8855387386,4,141269.85577014997
3,137,A1,229207.283776,0,POINT (416210.3239613799 450775.198518989),416210.3239609336,5,60583.09945517668
184,174,A8,48850.7293287,0,POINT (418451.8754402907 481877.1731791499),418457.2325112676,6,27308.37129148893
2,259,A1,224796.67185,0,POINT (420488.6420596566 450327.3538687091),420488.6420546853,5,64993.71139028759
36,605,A10,120197.629857,0,POINT (421001.2203845823 337831.3696370225),421001.2204230672,4,121395.1630919873
118,595,A2,369625.413539,0,POINT (424436.3217902992 293255.4013394183),424435.365876161,7,948.4571213243472
180,611,A8,37648.6814622,0,POINT (427164.9089802962 475520.9768360442),427172.5400068669,6,38506.85335110865
44,623,A10,162969.356795,0,POINT (429028.308131645 307851.8301184314),429028.3081308736,4,164166.89000029746
116,588,A2,360909.467008,0,POINT (430871.6664049764 296320.3605543186),430878.1088786292,7,9655.991740978816
34,253,A1,211383.836048,0,POINT (432555.3139417741 452815.2068385305),432555.3139753837,5,78406.54718728128
0,128,A1,201382.077257,0,POINT (441013.3571816163 456112.6461110769),441013.3571816313,5,88408.3059832979
182,169,A8,21956.8071777,0,POINT (442224.5378094601 475821.1504953066),442218.529846738,6,54212.89516639304
114,581,A2,346017.158968,0,POINT (443146.3920185022 301583.4528405147),443135.5751724429,7,24566.975325124426
49,317,A10,237515.891066,0,POINT (443644.3065387059 302112.0634204815),443645.1252545145,4,182059.06594585883
54,70,A11,1366.84757295,0,POINT (444882.1975585348 301562.6882531727),444882.1975578559,8,1359.5805969631044
110,60,A2,343485.891003,0,POINT (445246.8641916518 302853.5250873903),445246.6525655205,9,1790.4457196398712
179,162,A8,17817.1990877,0,POINT (446054.9138419005 476730.5737829997),446055.1636666585,6,58345.40158765828
183,491,A8,12818.0469624,0,POINT (448228.9823117902 474122.7194413623),448239.6373614579,10,2396.7060218135666
117,591,A2,338372.842401,0,POINT (450151.1121850369 302235.9789000314),450154.1541938077,9,6900.64868603263
52,632,A11,8040.69030637,0,POINT (450263.7539994707 298506.2654079883),450263.754002638,8,8033.423326758294
148,243,A25,17672.7785017,0,POINT (450537.4587189403 476168.2718429465),450533.3951719322,11,2239.6258776190284
187,606,A8,2694.35491511,0,POINT (451150.5250328 465017.8787142271),451161.3322281531,10,12528.533720140746
53,7140,A11,20636.4770806,0,POINT (452061.5325405221 287579.4175121787),452061.5325158493,8,20629.210090481825
147,778,A25,14463.0024419,0,POINT (453530.8147205117 477154.6487296884),453529.6791953074,11,5446.46861728947
32,120,A1,185830.914484,0,POINT (453632.017956671 464354.9860682018),453632.01794831,12,1844.4176921661842
107,54,A2,334479.775681,0,POINT (453962.2945423213 302754.1879949873),453959.5233769048,9,10799.519955764976
202,201,A9,4011.17641795,0,POINT (454434.5751063488 459398.4362143068),454434.5751003654,13,4015.550446987316
150,231,A25,12589.4334804,0,POINT (455381.1577719511 477006.323089747),455384.7538244994,11,7315.172720328424
203,207,A9,10038.6534907,0,POINT (456705.477423484 453912.2951625756),456705.4774431202,13,10043.02752075442
115,585,A2,330358.058719,0,POINT (457871.0479590546 303451.2873829712),457864.7859525385,9,14925.144579614836
26,483,A1,175108.059244,0,POINT (460737.751554071 472316.4529625021),460737.7515482609,12,12567.272933131062
149,772,A25,4196.27791096,0,POINT (462797.6138229115 477311.6613238851),462794.2813948461,11,15715.617307219827
113,576,A2,322405.829772,0,POINT (465177.4158062155 303625.6219095968),465184.0460955179,9,22864.658468667625
108,569,A2,319585.274379,0,POINT (467721.908599139 303710.0572027697),467727.0002920015,9,25686.840570846365
29,110,A1,165288.630725,0,POINT (468117.9095088605 478116.4760905354),468117.9095149512,14,1661.6056179599536
209,217,A9,43278.4868481,0,POINT (469378.3967448052 427991.8489743246),469378.3967362712,13,43282.86091544265
10,4122,A1,163733.562407,0,POINT (469391.8514101781 479007.6740410203),469391.8513989054,14,3216.673936890759
174,300,A7,6650.91406328,0,POINT (471435.9593791545 486875.0319989721),471435.9594078622,15,6143.608024527093
172,675,A7,13054.7409301,0,POINT (471492.18563742 491739.864741498),471492.1856501695,15,12497.43486664338
178,282,A7,4963.40013013,0,POINT (471616.8167756505 485715.1655396159),471616.8167716655,15,4956.0941007550055
173,649,A7,1994.05838366,1,POINT (471668.6750273105 482756.362516143),471668.6750251479,15,1986.7523455297041
119,212,A2,313373.763241,0,POINT (472397.747240464 306701.2487897315),472390.5324315617,9,31987.79398869122
175,334,A7,7864.80044738,1,POINT (472858.7826200137 487752.1640740071),472858.7826176275,15,7857.494398442713
176,657,A7,11382.8522534,0,POINT (472868.6675316274 489601.7500049669),472868.6675202943,15,9875.546197758566
188,402,A9,72260.5375853,0,POINT (474147.5185035607 404166.6732814804),474147.5185007378,13,72264.91166366758
205,6097,A9,58152.7204666,0,POINT (474971.1408465293 415716.6570136173),474971.1408662437,13,58157.09452239876
211,223,A9,55365.0467054,0,POINT (475313.3255203425 418398.2205797808),475313.325541743,13,55369.42076890913
33,507,A1,155635.3868,0,POINT (476461.7156871943 482340.5004627954),476461.7156867516,16,4718.24916011863
177,153,A7,19776.3737215,0,POINT (477719.2925127333 493447.6038084257),477719.2925067827,15,19769.06766489371
255,165,S37,10866.6399245,1,POINT (478532.6704332535 312095.89936401),478532.666064459,19,7355.523127232881
106,563,A2,301778.486187,0,POINT (482800.6648987301 305673.0203805211),482802.77851111,18,10407.328857514007
22,978,A1,147274.456011,0,POINT (483950.378618906 478954.7663625792),483950.3786164476,16,13079.179940225786
215,365,S10,7443.27794981,0,POINT (485235.5266109339 501947.4432359624),485235.5266171964,15,34228.9200365377
216,359,S10,8601.62603367,0,POINT (485697.2226261072 502964.9638798128),485697.2226216287,15,35387.26812445584
20,450,A1,144728.939139,0,POINT (486457.9099389573 478543.2385320545),486457.9099437676,16,15624.696811886346
213,352,S10,14842.047663,0,POINT (486485.4708303078 508375.5350401832),486485.470803335,15,41627.689764593706
214,346,S10,17050.6761617,0,POINT (486747.6287185719 510425.4133167704),486747.6287240832,15,43836.31825057456
190,408,A9,90373.2161994,0,POINT (490874.4238083351 398676.4295337136),490874.4238082012,13,90377.5902852933
27,999,A1,137219.251835,0,POINT (491232.929968118 473479.3229790786),491232.9299588909,16,23134.384120608476
105,558,A2,283487.212456,0,POINT (498129.9100588774 309527.0807611481),498128.9788346657,18,28701.14065250229
191,414,A9,101122.343779,0,POINT (500648.8772052416 395735.1359177531),500648.8772044735,13,101126.71784984566
25,991,A1,123870.454228,0,POINT (502725.4302296024 469422.7135712527),502725.4302339921,16,36483.18172427495
