Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
23.0,A9,'Deutschfeistritz',161.95,0,2,235790130,Raststation Deutschfeistritz,POINT (550268.1905258861 369200.0667830457),161859.23733452355
24.0,A9,'Eggenfeld',169.13,2,0,4575038,,POINT (551474.5660784504 362643.2864107855),169066.7990469878
26.0,A9,'Premstätten',192.48,1,0,178135178,Rastplatz Premstätten,POINT (559542.4347327679 343347.8517675975),192653.40411288827
28.0,A9,'Gralla West',211.06,0,0,192707339,Raststation Gralla West,POINT (568973.1545814445 328308.5763406043),211176.19070909682
30.0,A9,'Straß West',225.02,2,0,314047000,Rastplatz Straß West,POINT (576389.1964605602 317271.5331191026),225116.04098338005
,S1A,'Schwechat',9.85,0,2,30811318,,,
,S1B,'Deutsch Wagram',39.05,0,2,42216901,Raststation Deutsch-Wagram,,
244.0,S16,'Schnann',18.9,0,2,896823217,Raststation Schnann,,
246.0,S16,'Innerbraz',54.99,0,0,782866940,Raststation Innerbraz,,
248.0,S16,'Radin Nord',59.03,2,0,782870538,Parkplatz Radin,,
252.0,S31,'Forchtenstein’,52.45,2,0,913221916,,,
253.0,S31,'Kobersdorf',66.91,2,0,159983507,Parkplatz Kobersdorf (gesperrt),,
257.0,S33,'St. Pölten Ost',1.84,0,0,109352402,,,
259.0,S33,'Herzogenburg',15.69,1,0,405477797,Rastplatz Herzogenburg,,
260.0,S35,'Frohnleiten West',26.82,2,0,173760628,P27,,
262.0,S36,'St. Marein Nord',14.89,0,0,49358081,Rastplatz St. Marein,,
265.0,S36,'Hauswald',35.77,2,0,951736532,Parkplatz Hauswald,,
,S37,'Hunnenbrunnen',285.19,2,0,951738007,,,
,S37,'Zollfeld',293.91,2,0,450094399,,,
269.0,S5,'Zaina',6.3,2,0,142277259,,,
270.0,S5,'Grafenwörth',32.85,0,2,925947138,Raststation Grafenwörth,,
271.0,S6,'Natschbach',3.22,0,2,96307607,Rastplatz Natschbach,,
273.0,S6,'Gloggnitz Nord',18.44,2,0,661056057,Parkplatz Gloggnitz,,
274.0,S6,'Schottwien',23.57,0,2,49360021,Rastplatz Schottwien,,
275.0,S6,'Schwöbing Nord',48.55,0,0,327068314,Raststation Schwöbing Nord,,
277.0,S6,'St. Marein',68.99,0,0,94437560,Raststation St. Marein,,
278.0,S6,'Kapfenberg Nord',72.03,2,0,544542523,Raststation Kapfenberg Nord,,
