Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh,installed_infrastructure,,44kW,50kW,75kW,150kW,350kW
170,A21,'Hinterbrühl',0,POINT (613765.5647299936 467564.8900480742),,,,0,0,,,,,
174,A22,'Korneuburg Ost',0,POINT (621303.8763335195 498539.7127567021),,,,0,0,,,,,
176,A25,'Pucking',0,POINT (461267.5860737208 476673.0289561879),,,,0,0,,,,,
179,A25,'Wels',2,POINT (455024.5227129348 476999.8729279457),,,,0,0,,,,,
180,A3,'Hornstein',2,POINT (630409.3244350143 446660.2082495076),,,,0,0,,,,,
181,A4,'Simmering',0,POINT (631279.0016764031 480453.7891075072),TRUE,3,0,3,2,,2,0,0,0
182,A4,'Fischamend',0,POINT (647755.8366565057 471376.1000652218),,,,0,0,,,,,
184,A4,'Göttlesbrunn',2,POINT (651823.8253018593 467339.483749786),TRUE,4,4,8,6,,2,0,0,4
186,A4,'Neusiedl',0,POINT (665050.1524660793 458043.7360210589),,,,0,0,,,,,
187,A4,'Nickelsdorf Süd',0,POINT (681173.5546972395 454342.2530852788),,,,0,0,,,,,
191,A5,'Hochleithen',2,POINT (637914.9142296079 507927.045338552),TRUE,5,4,9,6,,2,0,0,4
192,A6,'Potzneusiedl',2,POINT (670513.7452634472 465570.2468047387),,,,0,0,,,,,
195,A7,'Denk',0,POINT (483190.2215469718 494858.4157010064),,,,0,0,,,,,
196,A8,'Voralpenkreuz',2,POINT (452344.349495513 463254.9889435243),TRUE,3,1,4,3,,1,0,2,0
198,A8,'Oberham/Nord',0,POINT (445419.2738178434 476722.7469265913),,,,0,0,,,,,
200,A8,'Kematen/Nord',0,POINT (439261.2969947135 475739.7629321066),,,,0,0,,,,,
201,A8,'Aistersheim',2,POINT (430758.2100374589 475593.3085917626),TRUE,,,0,0,1,0,0,0,0
202,A8,'Gotthaming',0,POINT (422394.57208572 478857.4341825068),,,,0,0,,,,,
,A8,'Grübl/Nord',0,POINT (417653.8197867699 482225.9951059376),,,,0,0,,,,,
206,A8,'Murau Ost',0,POINT (411972.4879913593 486047.9175938376),,,,0,0,,,,,
208,A8,'Dietrichshofen/Ost',0,POINT (406204.3263096366 497523.4572408884),,,,0,0,,,,,
1,A9,'Maisdorf/West',0,POINT (457248.6927408883 451296.6961317431),,,,0,0,,,,,
2,A9,'St. Pankraz',2,POINT (463307.6259769649 430843.0978130578),,,,0,0,,,,,
4,A9,'Pyhrn-Priel West',0,POINT (475238.5922338971 418494.5326237982),,,,0,0,,,,,
6,A9,'Ardning West',0,POINT (474264.7869986332 409366.1576528699),,,,0,0,,,,,
8,A9,'Rottenmann/Süd',0,POINT (479560.3242440162 402327.4291888591),,,,0,0,,,,,
9,A9,'Trieben',2,POINT (486639.4742590693 399996.0857621173),,,,0,0,,,,,
