Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
111.0,A14,'Rankweil West',33.46,2,0,207257184,Rastplatz Rankweil West,POINT (119816.947577177 383798.2976617484),33309.01882557421
113.0,A14,'Schlins West',46.72,2,0,533414012,Parkplatz Schlins,POINT (123321.0886701855 373406.1302092274),46706.44277232992
116.0,A2,'Guntramsdorf',14.43,0,2,324026491,Guntramsdorf,POINT (623926.2221590605 463563.4606787244),14491.72041560853
117.0,A2,'Triestingtal',32.08,1,0,327066542,Rastplatz Triestingtal,POINT (614767.8149405568 449540.0532148879),32178.664708455453
120.0,A2,'Bad Fischau',40.93,0,0,100454573,Raststation Bad Fischau,POINT (613196.1533770029 441023.8700809314),41055.04247079064
121.0,A2,'Steinfeld',50.35,1,0,148700928,Rastplatz Steinfeld,POINT (614534.9720840184 432285.1386301224),50293.55814030129
123.0,A2,'Witzelsberg',60.84,2,0,207564998,,POINT (609381.3005077317 423778.7327135221),60871.62524835884
125.0,A2,'Zöbern',78.76,0,2,47027527,Raststation Zöbern,POINT (609495.7543804377 408545.1437660298),78798.18835371306
128.0,A2,'Pinkafeld/West',98.0,2,0,207181900,,POINT (607383.314727821 391962.9644715288),98046.57590143589
129.0,A2,'Loipersdorf',105.5,0,2,192927910,Raststation Loipersdorf,POINT (606100.3011752106 385009.4386134488),105622.14815529152
131.0,A2,'St. Johann/Nord',113.24,2,0,525858856,P113,POINT (604971.14603563 378493.8247382877),113233.64305635315
132.0,A2,'Hainersdorf',133.87,1,0,525878305,Rastplatz Hainersdorf,POINT (601083.218354068 361095.5815844694),133858.62981543373
134.0,A2,'Arnwiesen',154.1,0,2,140439861,Raststation Arnwiesen,POINT (584815.6945069765 359017.6639889878),154027.591129845
135.0,A2,'Laßnitzhöhe Nord',170.16,1,0,525963518,Rastplatz Laßnitzhöhe-Nord,POINT (570822.2967376324 354091.4658410492),170265.3810171409
137.0,A2,'Kaiserwald',190.77,0,2,192901592,Raststation Kaiserwald,POINT (555990.9359950811 342071.0291058678),190811.98043951005
138.0,A2,'Herzogberg Nord',220.13,1,0,193468416,Rastplatz Herzogberg Nord,POINT (534021.3825995264 342554.1485492085),220248.19660386478
140.0,A2,'Pack',235.21,0,2,207488228,Raststation Pack Preitenegg,POINT (520193.4766166944 341117.7951351135),235315.76453870424
142.0,A2,'Twimberg Nord',242.44,2,0,526830760,Rastplatz Twimberg Nord,POINT (514921.9528572539 337722.4353467271),242509.80305066652
144.0,A2,'St. Ändra',262.91,2,0,526850263,Parkplart Sankt Andrä,POINT (513196.7727531045 318766.4771180848),262955.5643856141
146.0,A2,'Gönitz/Nord',268.89,2,0,527026750,Parkplatz Gönitz Nor,POINT (510682.1791903474 313759.070263938),268950.3283638088
147.0,A2,'Haimburg Nord',279.17,2,0,527042440,Parkplatz Haimburg Nord,POINT (502292.7816052746 310179.8495204826),279134.37145867385
148.0,A2,'Völkermarkt',285.09,0,2,47029582,Raststätte Völkermarkt,POINT (496555.3319714307 309690.5901621991),285005.7315573676
149.0,A2,'Grafenstein Nord',300.0,1,0,398982039,Grafenstein Nord,POINT (484620.387659362 305140.8658585658),299840.5023934409
151.0,A2,'Krumpendorf/Nord',329.28,2,0,527233259,Parkplatz Krumpendorf Nord,POINT (468286.3644425684 303657.2035560734),319007.8187578615
153.0,A2,'Wörthersee',340.13,0,2,324036372,Raststation Wörthersee,POINT (458349.9997587008 303666.2358118318),329838.3535260621
155.0,A2,'Sternberg/Nord',349.03,2,0,527576786,Parkplatz Sternberg Nord,POINT (449825.1520226449 302412.4533868213),338742.74377298966
156.0,A2,'Federaun/Nord',361.73,2,0,527631024,,POINT (439216.0674886806 298092.1657742577),351427.3954159526
158.0,A2,'Dreiländereck Süd',374.17,0,2,802147800,Rastplatz Dreiländereck Süd,POINT (428015.7321372766 296729.4447019593),363852.38883695274
159.0,A2,'Dreiländereck Nord',374.27,0,2,802147801,Rastplatz Dreiländereck Nord,POINT (427929.2750915801 296865.8450132926),363908.23233008117
168.0,A21,'Alland',14.68,0,2,892039574,Raststation Alland,POINT (603624.3526028101 467027.472407522),23575.167974144402
170.0,A21,'Hinterbrühl',26.99,1,0,286175682,Rastplatz Hinterbrühl,POINT (613765.5647299936 467564.8900480742),11277.268483333599
174.0,A22,'Korneuburg Ost',18.12,0,0,54893726,Raststation Korneuburg,POINT (621303.8763335195 498539.7127567021),18079.022892039822
