Time of calculation: 20211122-205621; value of objective: 866385.6065189048;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=150000;  cvar=10000;  eta=0.011;  mu=0.5;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,122199.48177898517,0.0,122199.48177898517,0.0,0.0,0.0,0.0,0.0,0.0,4128.137271929872,0.0,4128.137271929872,4800.234421714291,0.0,4800.234421714291,0
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,85730.10314081071,85730.10314081071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.017169459186,2775.017169459186,0.0,3246.532736733645,3246.532736733645,0.0,0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.38382040594,0.0,72532.38382040594,0.0,0.0,0.0,0.0,0.0,0.0,3729.2091609176396,0.0,3729.2091609176396,4128.137271929872,0.0,4128.137271929872,0
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,0.0,29648.737115098505,86236.6993060754,0.0,86236.6993060754,0.0,0.0,0.0,0.0,0.0,0.0,3254.9073147342247,0.0,3254.9073147342247,3729.2091609176396,0.0,3729.2091609176396,0
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,29791.88732837659,0.0,122843.35235918174,122843.35235918174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.532736733645,3246.532736733645,0.0,3922.1711747091445,3922.1711747091445,0.0,0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.64620523784,0.0,46681.64620523784,108599.64670259466,0.0,108599.64670259466,0.0,0.0,0.0,0.0,0.0,0.0,2657.609257869954,0.0,2657.609257869954,3254.9073147342247,0.0,3254.9073147342247,0
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.58896718505,48225.58896718505,0.0,137729.45647842763,137729.45647842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3922.1711747091445,3922.1711747091445,0.0,4679.6831853404965,4679.6831853404965,0.0,0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,22273.0,132032.00498622254,0.0,132032.00498622254,0.0,0.0,0.0,0.0,0.0,0.0,1931.4332304457303,0.0,1931.4332304457303,2657.609257869954,0.0,2657.609257869954,0
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,0.0,52074.59618392183,52074.59618392183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4679.6831853404965,4679.6831853404965,0.0,4966.093464352067,4966.093464352067,0.0,0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,0.0,143292.1869458095,143292.1869458095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4966.093464352067,4966.093464352067,0.0,5754.200492554019,5754.200492554019,0.0,0
