,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'Eggenfeld','A09',169.13,0.0,2.0,22115.1,31757.3,-0.0,0.0,49.56000793103472,144.83190793103472,22115.1,31757.3,0.0,0.0,0.0,0.0,0.0,0.0
'Premstätten','A09',192.48,0.0,1.0,29891.5,139593.3,1.0,400.0000000000002,144.83190793103472,163.6118079310345,29891.5,139593.3,0.0,0.0,0.0,0.0,0.0,1.0
'Gralla West','A09',211.06,0.0,0.0,20457.8,76021.3,1.0,391.6757079310345,163.6118079310345,0.0,20457.8,76021.3,0.0,0.0,0.0,0.0,0.0,1.0
'Straß West','A09',225.02,0.0,2.0,11166.0,31175.4,1.0,93.5262,0.0,0.0,11166.0,31175.4,0.0,0.0,0.0,0.0,0.0,1.0
'Glanegg/West','A10',4.28,0.0,2.0,79078.4,67691.1,1.0,203.07330000000002,0.0,0.0,79078.4,67691.1,0.0,0.0,0.0,0.0,0.0,1.0
'Golling West','A10',28.82,0.0,0.0,47112.4,231227.9,1.0,693.6837,0.0,0.0,47112.4,231227.9,0.0,0.0,0.0,0.0,0.0,2.0
'Hohenwerfen','A10',40.34,0.0,2.0,35799.0,82481.0,1.0,247.443,0.0,0.0,35799.0,82481.0,0.0,0.0,0.0,0.0,0.0,1.0
'Buchberg','A10',46.5,0.0,2.0,35799.0,44104.4,-0.0,0.0,0.0,132.3132,35799.0,44104.4,0.0,0.0,0.0,0.0,0.0,0.0
'Rohr','A10',71.25,0.0,2.0,21809.0,52036.3,1.0,158.1501,2.0412,0.0,21809.0,52036.3,0.0,0.0,0.0,0.0,0.0,1.0
'Lungau','A10',97.91,0.0,0.0,16285.0,59016.9,1.0,111.70419206896545,98.26529999999994,163.6118079310345,16285.0,59016.9,0.0,0.0,0.0,0.0,0.0,1.0
'Rennweg','A10',112.45,0.0,2.0,15465.3,44973.1,1.0,298.5311079310345,163.6118079310345,0.0,15465.3,44973.1,0.0,0.0,0.0,0.0,0.0,1.0
'Wolfsberg','A10',142.25,0.0,2.0,18559.6,60615.7,1.0,315.8832,134.03609999999998,0.0,18559.6,60615.7,0.0,0.0,0.0,0.0,0.0,1.0
'Münster Nord','A12',35.71,0.0,1.0,39374.6,169232.1,1.0,400.00000000000006,49.70300000000003,157.39929999999998,39374.6,169232.1,0.0,0.0,0.0,0.0,0.0,1.0
'Weer','A12',54.8,0.0,0.0,30928.5,118085.2,1.0,498.2635920689655,157.39929999999998,13.391307931034476,30928.5,118085.2,0.0,0.0,0.0,0.0,0.0,2.0
'Hall in Tirol','A12',66.28,0.0,2.0,21809.0,50073.5,0.0,0.0,13.391307931034476,163.6118079310345,21809.0,50073.5,0.0,0.0,0.0,0.0,0.0,0.0
'Ampaß','A12',72.07,0.0,0.0,21809.0,25254.8,1.0,236.16449999999998,163.6118079310345,3.2117079310345105,21809.0,25254.8,0.0,0.0,0.0,0.0,0.0,1.0
'Kematen','A12',86.01,0.0,2.0,19177.5,53466.7,0.0,0.0,3.2117079310345105,163.6118079310345,19177.5,53466.7,0.0,0.0,0.0,0.0,0.0,0.0
'Zirl-Inzing','A12',91.77,0.0,1.0,16285.0,18760.3,1.0,165.53520000000594,163.6118079310345,54.357507931028536,16285.0,18760.3,0.0,0.0,0.0,0.0,0.0,1.0
'Telfs Nord','A12',103.33,0.0,2.0,15465.3,23259.8,0.0,0.0,93.83240793103451,163.6118079310345,15465.3,23259.8,0.0,0.0,0.0,0.0,0.0,0.0
'Imst Nord','A12',133.84,0.0,2.0,16894.1,103087.9,1.0,400.0,163.6118079310345,72.87550793103446,16894.1,103087.9,0.0,0.0,0.0,0.0,0.0,1.0
'Kronburg Zams','A12',142.7,0.0,2.0,18559.6,26688.7,1.0,169.86940793103446,89.80330793103445,0.0,18559.6,26688.7,0.0,0.0,0.0,0.0,0.0,1.0
'Berg Isel','A13',1.25,0.0,2.0,25838.7,6459.7,-0.0,0.0,0.0,19.3791,25838.7,6459.7,0.0,0.0,0.0,0.0,0.0,0.0
'Patsch','A13',6.24,0.0,2.0,25838.7,25787.0,-0.0,0.0,19.3791,96.74010000000001,25838.7,25787.0,0.0,0.0,0.0,0.0,0.0,0.0
'Matrei West','A13',16.79,0.0,0.0,20298.4,34588.5,1.0,70.31379206896543,128.2116,161.66330793103458,20298.4,34588.5,0.0,0.0,0.0,0.0,0.0,1.0
'Wipptalerhof West','A13',22.56,0.0,2.0,18324.9,20560.6,1.0,180.68730000000008,163.61180793103458,44.60630793103449,18324.9,20560.6,0.0,0.0,0.0,0.0,0.0,1.0
'Gries West','A13',29.54,0.0,0.0,18184.6,9565.1,-0.0,0.0,92.3645079310345,121.0598079310345,18184.6,9565.1,0.0,0.0,0.0,0.0,0.0,0.0
'Brennersee - Fröhlich','A13',32.6,0.0,2.0,18184.6,11129.0,-0.0,0.0,121.0598079310345,154.4468079310345,18184.6,11129.0,0.0,0.0,0.0,0.0,0.0,0.0
'Brennersee','A13',33.44,0.0,0.0,18184.6,3055.0,-0.0,0.0,154.4468079310345,163.61180793103452,18184.6,3055.0,0.0,0.0,0.0,0.0,0.0,0.0
'Dornbirn Ost','A14',15.27,0.0,2.0,26498.3,80925.7,1.0,79.1652920689655,0.0,163.6118079310345,26498.3,80925.7,0.0,0.0,0.0,0.0,0.0,1.0
'Rankweil West','A14',33.46,0.0,2.0,22493.7,40398.6,0.0,0.0,0.0,121.19579999999999,22493.7,40398.6,0.0,0.0,0.0,0.0,0.0,0.0
'Schlins West','A14',46.72,0.0,2.0,13355.7,35419.2,1.0,227.4534,121.19579999999999,0.0,13355.7,35419.2,0.0,0.0,0.0,0.0,0.0,1.0
