highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
A13,'Brennersee',33.44,0.0,0.0,12037.0,12037.0,0.0,9408.316380843364,9408.316380843364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999474.38174766,99999474.38174766,0.0,99999526.12748776,99999526.12748776,0.0,0
A13,'Brennerpaß',34.16,2.0,0.0,23639.0,12037.0,11602.0,2518.3592467820863,1729.6446040078497,788.7146427742366,0.0,0.0,0.0,0.0,99999535.64053309,-99999535.64053309,99999526.12748776,99999526.12748776,0.0,99999539.97846362,0.0,99999539.97846362,0
A14,'Hörbranz’,0.0,2.0,1.0,11914.47538487758,11914.47538487758,0.0,580.5002038524873,580.5002038524873,0.0,2.0,2.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,-1996.8072488788114,-1996.8072488788114,0.0,1
A14,'Hohenems',24.48,2.0,0.0,53333.40958305029,26852.092271153047,26481.317311897245,325972.7230756362,129158.23498549042,196814.48809014575,0.0,0.0,0.0,-203.95727196281246,-1286.436956458614,1082.4796844958016,-1996.8072488788114,-1996.8072488788114,0.0,0.0,0.0,0.0,0
A2,'Guntramsdorf',14.43,2.0,0.0,106539.0608322543,54671.885978190505,51867.17485406379,341487.5079237672,158457.9372379927,183029.57068577447,0.0,0.0,0.0,2.2737367544323206e-13,0.0,2.2737367544323206e-13,-1006.6626387717592,0.0,-1006.6626387717592,871.5186548089598,871.5186548089598,0.0,0
A2,'Leobersdorf',32.08,1.0,1.0,39540.0,0.0,39540.0,56942.74699600472,0.0,56942.74699600472,0.0,0.0,0.0,0.0,0.0,0.0,-1319.8477472497852,0.0,-1319.8477472497852,-1006.6626387717592,0.0,-1006.6626387717592,0
A2,'Triestingtal',32.08,0.0,1.0,40445.0,40445.0,0.0,143069.6923848394,143069.6923848394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.5186548089598,871.5186548089598,0.0,1658.4019629255765,1658.4019629255765,0.0,0
A2,'Föhrenberg',39.31,1.0,0.0,39539.98215618593,0.0,39539.98215618593,93778.97588690832,0.0,93778.97588690832,0.0,0.0,0.0,-893.5305804801087,0.0,-893.5305804801087,-2729.1626951078897,0.0,-2729.1626951078897,-1319.8477472497852,0.0,-1319.8477472497852,0
A2,'Bad Fischau',40.93,0.0,0.0,37535.00000001001,37535.00000001001,0.0,66634.96786186735,66634.96786186735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.4019629255765,1658.4019629255765,0.0,2024.894286165847,2024.894286165847,0.0,0
A2,'Steinfeld',50.35,0.0,1.0,32434.00031526797,32434.00031526797,0.0,59928.40402750363,59928.40402750363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.894286165847,2024.894286165847,0.0,2354.500508317117,2354.500508317117,0.0,0
A2,'Wr. Neustadt',51.18,1.0,1.0,31158.00000000052,0.0,31158.00000000052,172010.8435859857,0.0,172010.8435859857,0.0,0.0,0.0,0.0,0.0,0.0,-3675.2223348308107,0.0,-3675.2223348308107,-2729.1626951078897,0.0,-2729.1626951078897,0
A2,'Zöbern',78.76,2.0,0.0,34076.0,17853.0,16223.0,127688.39957479399,101778.6326400082,25909.766934785785,0.0,0.0,0.0,0.0,1431.301134329005,-1431.301134329005,-2894.526678984021,2354.500508317117,-5249.027187301138,-2192.2404813226535,1482.9818535081572,-3675.2223348308107,0
A2,'Schäffern Ost',86.7,1.0,1.0,16223.0,0.0,16223.0,61123.2530374171,0.0,61123.2530374171,0.0,0.0,0.0,0.0,0.0,0.0,-5585.205079006932,0.0,-5585.205079006932,-5249.027187301138,0.0,-5249.027187301138,0
