Autobahn,Name,Standort,Richtung,Art,Fluss,Fluss_0,Energiebedarf,Energiebedarf_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,Fluss_1,Energiebedarf_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
'A02','St. Johann/Nord',113.24,0.0,2.0,15496.1,15496.1,23988.0,23988.0,0.0,0.0,0.0,0.0,0.0,91.64780793103449,91.64780793103449,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Laßnitzhöhe Nord',170.16,0.0,1.0,27978.1,27978.1,89865.7,89865.7,1.0,1.0,1.0,269.5971,269.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Pinkafeld/West',98.0,0.0,2.0,16285.0,16285.0,62664.7,62664.7,1.0,1.0,1.0,165.9402920689655,165.9402920689655,0.0,0.0,22.053807931034484,22.053807931034484,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Schäffern Ost',86.7,1.0,1.0,19899.9,0.0,31601.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8033,0.0,19899.9,31601.1,0.0,0.0,0.0,94.8033
'A02','Kaiserwald',190.77,2.0,0.0,44576.4,21735.9,181505.5,89595.3,1.0,2.0,1.0,380.9046920689655,268.7859,0.0,0.0,163.6118079310345,0.0,22840.5,91910.2,1.0,112.11879206896549,0.0,163.6118079310345
'A02','Arnwiesen',154.1,2.0,0.0,40422.2,20052.7,162774.1,81133.3,1.0,2.0,1.0,488.32230000000004,243.3999,0.0,0.0,0.0,0.0,20369.5,81640.8,1.0,244.9224,0.0,0.0
'A02','Herzogberg Nord',220.13,0.0,1.0,9056.8,9056.8,53181.7,53181.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5451,159.5451,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Karawankenblick/Süd',333.84,1.0,2.0,19951.9,0.0,135034.4,0.0,1.0,1.0,0.0,400.0,0.0,126.00420000000001,0.0,131.10740000000004,0.0,19951.9,135034.4,1.0,400.0,126.00420000000001,131.10740000000004
'A02','Steinfeld',50.35,0.0,1.0,30928.5,30928.5,58269.4,58269.4,1.0,1.0,1.0,148.46229206896552,148.46229206896552,0.0,0.0,26.345907931034475,26.345907931034475,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Dreiländereck Süd',374.17,2.0,0.0,18399.6,8287.3,43654.4,20618.7,0.0,0.0,0.0,0.0,0.0,196.26041586206904,101.75570793103451,327.22361586206904,163.61180793103452,10112.3,23035.7,0.0,0.0,94.50470793103453,163.61180793103452
'A02','Krumpendorf/Nord',329.28,0.0,2.0,19323.8,19323.8,113160.2,113160.2,1.0,1.0,1.0,339.4806,339.4806,163.6118079310345,163.6118079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Gönitz/Nord',268.89,0.0,2.0,11769.0,11769.0,14075.7,14075.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22709999999995,42.22709999999995,0.0,0.0,0.0,0.0,0.0,0.0
'A02','St. Ändra',262.91,0.0,2.0,11102.2,11102.2,45452.5,45452.5,1.0,1.0,1.0,299.9693079310345,299.9693079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Sternberg/Süd',349.01,1.0,2.0,19182.8,0.0,34068.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2058,0.0,19182.8,34068.6,0.0,0.0,0.0,102.2058
'A02','Bad Blumau',134.06,1.0,1.0,18332.6,0.0,77033.5,0.0,1.0,1.0,0.0,382.8002999999999,0.0,151.69979999999987,0.0,0.0,0.0,18332.6,77033.5,1.0,382.8002999999999,151.69979999999987,0.0
'A02','Grafenstein Süd',300.0,1.0,1.0,14085.0,0.0,42001.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.00420000000001,0.0,14085.0,42001.4,-0.0,0.0,0.0,126.00420000000001
'A02','Federaun/Nord',361.73,0.0,2.0,16828.0,16828.0,42743.2,42743.2,1.0,1.0,1.0,190.08569999999997,190.08569999999997,163.6118079310345,163.6118079310345,101.75570793103451,101.75570793103451,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Hainersdorf',133.87,0.0,1.0,16894.1,16894.1,69705.2,69705.2,1.0,1.0,1.0,372.72740793103446,372.72740793103446,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Sternberg/Nord',349.03,0.0,2.0,18402.9,18402.9,32757.2,32757.2,0.0,0.0,0.0,0.0,0.0,65.34020793103448,65.34020793103448,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Guntramsdorf',14.43,2.0,0.0,104884.29999999999,52598.2,302696.1,151798.4,1.0,2.0,1.0,641.6138841379311,308.7605920689655,0.0,0.0,266.47441586206895,146.6346079310345,52286.1,150897.7,1.0,332.85329206896563,0.0,119.83980793103444
'A03','Hornstein',28.0,2.0,0.0,36474.399999999994,18204.1,204256.5,101943.0,1.0,2.0,1.0,612.7695,305.829,0.0,0.0,0.0,0.0,18270.3,102313.5,1.0,306.9405,0.0,0.0
'A04','Parndorf',46.23,1.0,2.0,24533.5,0.0,89252.8,0.0,1.0,1.0,0.0,267.75839999999994,0.0,163.6118079310345,0.0,163.61180793103458,0.0,24533.5,89252.8,1.0,267.75839999999994,163.6118079310345,163.61180793103458
'A04','Göttlesbrunn',28.04,2.0,0.0,63242.4,30845.4,71250.9,35225.4,-0.0,0.0,-0.0,0.0,0.0,87.44200793103448,31.9067,301.1947079310345,137.5829,32397.0,36025.5,-0.0,0.0,55.53530793103448,163.6118079310345
'A04','Maria Ellend',22.48,1.0,1.0,32397.0,0.0,145657.1,0.0,1.0,1.0,0.0,381.43599206896556,0.0,0.0,0.0,55.53530793103448,0.0,32397.0,145657.1,1.0,381.43599206896556,0.0,55.53530793103448
'A04','Nickelsdorf Süd',64.65,0.0,0.0,12000.0,12000.0,42336.0,42336.0,1.0,1.0,1.0,290.61980793103453,290.61980793103453,163.61180793103455,163.61180793103455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A04','Nickelsdorf Nord',64.97,1.0,0.0,13000.0,0.0,48724.0,0.0,1.0,1.0,0.0,309.7838079310346,0.0,163.61180793103458,0.0,0.0,0.0,13000.0,48724.0,1.0,309.7838079310346,163.61180793103458,0.0
'A04','Simmering',2.45,0.0,0.0,43525.9,43525.9,21327.7,21327.7,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,63.9831,63.9831,0.0,0.0,0.0,0.0,0.0,0.0
'A04','Fischamend',22.33,0.0,1.0,30845.4,30845.4,122641.2,122641.2,1.0,1.0,1.0,400.0,400.0,63.9831,63.9831,31.9067,31.9067,0.0,0.0,0.0,0.0,0.0,0.0
'A04','Neusiedl',47.01,0.0,2.0,22936.9,22936.9,87022.7,87022.7,1.0,1.0,1.0,235.03919206896546,235.03919206896546,137.5829,137.5829,163.61180793103455,163.61180793103455,0.0,0.0,0.0,0.0,0.0,0.0
'A05','Hochleithen',10.63,2.0,0.0,35417.0,17911.1,75296.5,38078.9,1.0,2.0,1.0,225.8895,114.23670000000001,0.0,0.0,0.0,0.0,17505.9,37217.6,1.0,111.6528,0.0,0.0
'A06','Potzneusiedl',10.8,2.0,0.0,21270.7,10794.7,45944.7,23316.6,1.0,2.0,1.0,137.83409999999998,69.9498,0.0,0.0,0.0,0.0,10476.0,22628.1,1.0,67.8843,0.0,0.0
'A07','Denk',25.76,0.0,1.0,19957.2,19957.2,102819.3,102819.3,1.0,1.0,1.0,308.4579,308.4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A07','Engerwitzdorf',25.71,1.0,1.0,19668.0,0.0,101132.9,0.0,1.0,1.0,0.0,303.39869999999996,0.0,0.0,0.0,0.0,0.0,19668.0,101132.9,1.0,303.39869999999996,0.0,0.0
'A08','Suben West',74.77,1.0,0.0,12508.9,0.0,45031.9,0.0,1.0,1.0,0.0,298.7075079310345,0.0,163.61180793103452,0.0,0.0,0.0,12508.9,45031.9,1.0,298.7075079310345,163.61180793103452,0.0
'A08','Oberham/Süd',16.76,1.0,2.0,24268.0,0.0,80521.1,0.0,1.0,1.0,0.0,122.12139206896549,0.0,1.0884,0.0,120.53030793103454,0.0,24268.0,80521.1,1.0,122.12139206896549,1.0884,120.53030793103454
'A08','Voralpenkreuz',0.17,2.0,0.0,22077.6,11405.9,750.6,387.8,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2.2518000000000002,1.1634,10671.7,362.8,-0.0,0.0,0.0,1.0884
'A08','Oberham/Nord',18.32,0.0,2.0,26226.5,26226.5,95202.1,95202.1,1.0,1.0,1.0,286.76970000000006,286.76970000000006,1.1634,1.1634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A08','Gotthaming',43.74,0.0,2.0,17566.8,17566.8,34887.7,34887.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.66309999999996,104.66309999999996,0.0,0.0,0.0,0.0,0.0,0.0
'A08','Kematen/Nord',24.85,0.0,2.0,21055.7,21055.7,27498.7,27498.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4961,82.4961,0.0,0.0,0.0,0.0,0.0,0.0
'A08','Renhartsberg',44.47,1.0,2.0,14652.4,0.0,31238.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7167,0.0,14652.4,31238.9,0.0,0.0,0.0,93.7167
'A08','Aistersheim',33.81,2.0,0.0,36618.5,19539.4,79864.29999999999,35014.7,1.0,2.0,1.0,485.70080793103455,187.5402,246.10790793103456,82.4961,0.0,0.0,17079.1,44849.6,1.0,298.1606079310345,163.61180793103455,0.0
'A08','Murau Ost',56.88,0.0,1.0,17830.8,17830.8,46859.4,46859.4,1.0,1.0,1.0,245.24129999999997,245.24129999999997,104.66309999999996,104.66309999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A08','Dietrichshofen/Ost',72.06,0.0,2.0,15138.3,15138.3,45959.9,45959.9,1.0,1.0,1.0,137.8797,137.8797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A08','Murau West',56.77,1.0,1.0,15380.1,0.0,37835.1,0.0,1.0,1.0,0.0,43.61019206896549,0.0,93.7167,0.0,163.61180793103452,0.0,15380.1,37835.1,1.0,43.61019206896549,93.7167,163.61180793103452
'A08','Schnittering/Süd',20.68,1.0,2.0,18316.9,0.0,14360.5,0.0,1.0,0.0,0.0,0.0,0.0,120.53030793103454,0.0,163.61180793103455,0.0,18316.9,14360.5,-0.0,0.0,120.53030793103454,163.61180793103455
'A09','Rottenmann/Nord',77.91,1.0,2.0,11788.4,0.0,28174.2,0.0,1.0,1.0,0.0,186.25899206896554,0.0,161.202,0.0,59.46560793103448,0.0,11788.4,28174.2,1.0,186.25899206896554,161.202,59.46560793103448
'A09','Übelbach 2',154.24,0.0,2.0,11971.7,11971.7,8787.3,8787.3,0.0,0.0,0.0,0.0,0.0,137.24990793103453,137.24990793103453,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A09','Kammern Nord',121.18,1.0,2.0,12700.9,0.0,73842.8,0.0,1.0,1.0,0.0,385.14020793103447,0.0,163.61180793103446,0.0,0.0,0.0,12700.9,73842.8,1.0,385.14020793103447,163.61180793103446,0.0
'A09','Ortnerhof/West',135.65,1.0,2.0,14001.2,0.0,40295.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6096,0.0,121.49609999999979,0.0,14001.2,40295.5,-0.0,0.0,0.6096,121.49609999999979
'A09','Gralla West',211.06,0.0,0.0,20457.8,20457.8,76021.3,76021.3,1.0,1.0,1.0,391.6757079310345,391.6757079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A09','Straß West',225.02,0.0,2.0,11166.0,11166.0,31175.4,31175.4,1.0,1.0,1.0,93.5262,93.5262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A09','Kleintal',150.57,0.0,2.0,11971.7,11971.7,27319.4,27319.4,0.0,0.0,0.0,0.0,0.0,55.29170793103452,55.29170793103452,137.24990793103453,137.24990793103453,0.0,0.0,0.0,0.0,0.0,0.0
'A09','Maisdorf/West',12.73,0.0,2.0,10766.5,10766.5,27411.5,27411.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2345,82.2345,0.0,0.0,0.0,0.0,0.0,0.0
