Time of calculation: 20210907-165223; value of objective: 117.75200789802466;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.003;  cars=20;  i=0.05;  T=10
highway,name,dist_along_highway,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A10,'Ried’,113909.24397676944,1.0,2.0,7303.0,0.0,7303.0,13765.28940829897,0.0,13765.28940829897,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,26.631458250795376,0.0,26.631458250795376,67.92732647569228,0.0,67.92732647569228
A10,'Eisentratten',123333.651349287,2.0,0.0,14181.0,6877.999999999999,7303.0,41606.55508905694,18483.210735025867,23123.34435403108,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,127.55730009513252,59.62997361944024,67.92732647569228,252.37696536230337,115.07960582451784,137.29735953778552
A10,'Seeboden',139165.05238586848,1.0,2.0,14455.0,0.0,14455.0,36156.36436141982,0.0,36156.36436141982,1.0,1.0,0.0,1.0,176.56497712601566,0.0,176.56497712601566,137.29735953778552,0.0,137.29735953778552,69.20147549602933,0.0,69.20147549602933
A10,'Wolfsberg',139712.580635197,0.0,2.0,14500.0,14500.0,0.0,47498.89492913899,47498.89492913899,0.0,1.0,1.0,1.0,0.0,257.57629061193484,257.57629061193484,0.0,115.07960582451784,115.07960582451784,0.0,0.0,0.0,0.0
A10,'Kamering',151671.57758871172,1.0,2.0,14749.703862513725,0.0,14749.703862513725,22698.62801391875,0.0,22698.62801391875,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,69.20147549602933,0.0,69.20147549602933,137.29735953778555,0.0,137.29735953778555
A10,'Feistritz an der Drau',159366.182248405,2.0,0.0,29679.0,14929.0,14750.0,122093.03941770023,58681.72369671648,63411.31572098375,1.0,2.0,1.0,1.0,503.57647779088626,176.04517109014944,327.5313067007368,137.29735953778555,0.0,137.29735953778555,0.0,0.0,0.0
A11,'St. Niklas/Nord',2126.475415772853,1.0,2.0,7502.999999999998,0.0,7502.999999999998,10409.086151425914,0.0,10409.086151425914,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.227258454277745,0.0,31.227258454277745
A11,'Rosegg',9063.09153694166,2.0,0.0,9108.5,4306.5,4802.0,19444.034231287984,7806.040740767851,11637.993490520132,1.0,2.0,1.0,1.0,89.55936114814169,23.418122222303555,66.14123892583814,31.227258454277745,0.0,31.227258454277745,0.0,0.0,0.0
A12,'Langkampfen Süd',2098.380581805528,1.0,2.0,11349.585916642442,0.0,11349.585916642442,27244.807627465067,0.0,27244.807627465067,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.73442288239521,0.0,81.73442288239521
A12,'Angath Süd',14100.9363699928,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,56148.108726317056,56144.28825076325,3.820475553803405,1.0,1.0,1.0,-0.0,31.147318524468773,31.147318524468773,0.0,81.73442288239521,0.0,81.73442288239521,219.03143053687762,137.285546227821,81.74588430905662
A12,'Angath Nord',14101.9253618524,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,86003.91804074345,3.93776998818332,85999.98027075526,0.0,1.0,0.0,1.0,339.7458251213224,0.0,339.7458251213224,219.03143053687762,137.285546227821,81.74588430905662,137.29735953778552,137.29735953778552,0.0
A12,'Münster Nord',35800.7780144102,0.0,1.0,18334.0,18334.0,0.0,79565.35290639894,79565.35290639894,0.0,1.0,1.0,1.0,0.0,375.99341825698235,375.99341825698235,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A12,'Münster Süd',36364.41054713728,1.0,1.0,18162.0,0.0,18162.0,51027.09845672941,0.0,51027.09845672941,1.0,1.0,0.0,1.0,82.48700475459324,0.0,82.48700475459324,0.0,0.0,0.0,70.59429061559499,0.0,70.59429061559499
A12,'Vomp',50412.174685648846,1.0,0.0,24431.999999991072,0.0,24431.999999991072,22234.35630739686,0.0,22234.35630739686,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,70.59429061559499,0.0,70.59429061559499,137.29735953778555,0.0,137.29735953778555
A12,'Weer',54863.9041356906,0.0,0.0,24110.000189607712,24110.000189607712,0.0,91922.39487971723,91922.39487971723,0.0,1.0,1.0,1.0,0.0,138.46982510136618,138.46982510136618,0.0,0.0,0.0,0.0,137.29735953778552,137.29735953778552,0.0
A12,'Weer Süd',54962.42769551398,1.0,1.0,24141.001987531265,0.0,24141.001987531265,44418.90300224902,0.0,44418.90300224902,1.0,1.0,0.0,1.0,133.2567090067471,0.0,133.2567090067471,137.29735953778555,0.0,137.29735953778555,137.29735953778552,0.0,137.29735953778552
A12,'Volders/Karlskirche',64162.31571697871,1.0,2.0,27543.0,0.0,27543.0,89230.8737530959,0.0,89230.8737530959,1.0,1.0,0.0,1.0,400.0,0.0,400.0,137.29735953778552,0.0,137.29735953778552,4.98998079707323,0.0,4.98998079707323
A12,'Hall in Tirol',66219.4051681823,0.0,2.0,28148.000000002427,28148.000000002427,0.0,63926.9286125208,63926.9286125208,0.0,1.0,1.0,1.0,0.0,329.07814537534796,329.07814537534796,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A12,'Ampaß',72190.0469737862,0.0,0.0,35539.999996608014,35539.999996608014,0.0,42439.32195018204,42439.32195018204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.31796585054613,127.31796585054613,0.0
A12,'Sieglanger',80360.78243322166,1.0,2.0,31124.79343149019,0.0,31124.79343149019,96002.72792906982,0.0,96002.72792906982,1.0,1.0,0.0,1.0,292.99816458428273,0.0,292.99816458428273,4.98998079707323,0.0,4.98998079707323,0.0,0.0,0.0
A12,'Kematen',85979.7305910282,0.0,2.0,27475.052704552163,27475.052704552163,0.0,75774.45683256471,75774.45683256471,0.0,1.0,1.0,1.0,0.0,354.64133634824026,354.64133634824026,0.0,127.31796585054613,127.31796585054613,0.0,0.0,0.0,0.0
