segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,not_covered,not_covered_0,not_covered_1,pXi
1.0,2.0,14.0,14.0,23126.816645439998,11846.3351177034,11280.4815277366,2715.58896866506,1386.75954291372,1328.82942575134,27721.2649615329,ra,0.0,-0.0,0.0,0.0,0.0,0.0,168.86966107143297,142.9920869009485,25.877574170484486,191.51942494544681,154.55855611240344,36.96086883304337,0.0,0.0,0.0,0
1.0,1.0,13.0,15.0,11337.2619320883,0.0,11337.2619320883,1420.24853693026,0.0,1420.24853693026,29194.6309655969,ra,0.0,0.0,-0.0,0.0,0.0,0.0,14.031785144578475,0.0,14.031785144578475,25.877574170484486,0.0,25.877574170484486,0.0,0.0,0.0,0
1.0,0.0,12.0,16.0,11885.5265358471,11885.5265358471,0.0,208.504810997731,208.504810997731,0.0,29478.4736802298,ra,0.0,-0.0,0.0,0.0,0.0,0.0,154.55855611240344,154.55855611240344,0.0,156.29762074633294,156.29762074633294,0.0,0.0,0.0,0.0,0
1.0,0.0,15.0,17.0,11960.1701828351,11960.1701828351,0.0,465.471180470787,465.471180470787,0.0,33381.7233696118,ra,0.0,-0.0,0.0,0.0,0.0,0.0,156.29762074633294,156.29762074633294,0.0,160.17995067530023,160.17995067530023,0.0,0.0,0.0,0.0,0
1.0,2.0,16.0,18.0,23460.935326572,11970.3853891252,11490.5499374468,1768.668281716874,86.3301716488441,1682.33811006803,34103.2604930604,ra,2.0,2.0,0.0,160.89999999999998,160.89999999999998,0.0,160.17995067530023,160.17995067530023,0.0,14.031785144578475,0.0,14.031785144578475,0.0,0.0,0.0,1
1.0,2.0,0.0,19.0,23472.9532848191,11974.8809399587,11498.0723448604,41.4313703808343,41.4313703808343,0.0,34449.3464575004,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3455643570993055,0.3455643570993055,0.0,0.0,0.0,0.0,0
2.0,2.0,0.0,20.0,68929.1689525749,33758.8137930879,35170.355159487,2037.30449092795,0.0,2037.30449092795,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,214.78184707680745,157.9164011273347,56.86544594947276,231.77428083296235,157.9164011273347,73.85787970562765,0.0,0.0,0.0,0
2.0,1.0,11.0,21.0,34398.2821383792,0.0,34398.2821383792,0.177994253383828,0.0,0.177994253383828,2598.41164546074,ra,1.0,0.0,1.0,55.37406426347177,0.0,55.37406426347177,112.23802562604402,0.0,112.23802562604402,56.86544594947276,0.0,56.86544594947276,0.0,0.0,0.0,1
2.0,0.0,17.0,22.0,24285.974119979,24285.974119979,0.0,5629.75346622784,5629.75346622784,0.0,19826.0309188716,ra,0.0,-0.0,0.0,0.0,0.0,0.0,157.9164011273347,157.9164011273347,0.0,204.87217689101908,204.87217689101908,0.0,0.0,0.0,0.0,0
2.0,1.0,18.0,23.0,24186.0911430872,0.0,24186.0911430872,4128.06929715106,0.0,4128.06929715106,19924.5544753991,ra,0.0,0.0,-0.0,0.0,0.0,0.0,77.80726459596046,0.0,77.80726459596046,112.23802562604402,0.0,112.23802562604402,0.0,0.0,0.0,0
