Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,44.3,Sichelbach,403,gesamt,gesamt,"Kfz <= 3,5t hzG",70092.0,66104.0,59254.0,63439.0,78516.0,81946.0,77209.0,"3,2% Tage geschätzt",
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,Kfz,38560.0,38692.0,39865.0,37625.0,40529.0,36202.0,40786.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4724.0,6183.0,8051.0,6341.0,4275.0,1475.0,765.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",33836.0,32509.0,31814.0,31284.0,36254.0,34727.0,40021.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,Kfz,46272.0,44855.0,37606.0,43202.0,54950.0,54885.0,43306.0,"3,2% Tage geschätzt",
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz > 3,5t hzG",4991.0,6351.0,5135.0,6649.0,6549.0,2521.0,599.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz <= 3,5t hzG",41281.0,38504.0,32471.0,36553.0,48401.0,52364.0,42707.0,"3,2% Tage geschätzt",
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,Kfz,84832.0,83547.0,77471.0,80827.0,95479.0,91087.0,84092.0,"3,2% Tage geschätzt",
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,"Kfz > 3,5t hzG",9715.0,12534.0,13186.0,12990.0,10824.0,3996.0,1364.0,Messung,
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,"Kfz <= 3,5t hzG",75117.0,71013.0,64285.0,67837.0,84655.0,87091.0,82728.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,Kfz,43440.0,43938.0,46054.0,42654.0,45585.0,39584.0,45516.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",5712.0,7533.0,9609.0,7767.0,5266.0,1611.0,819.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",37728.0,36405.0,36445.0,34887.0,40319.0,37973.0,44697.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,Kfz,51402.0,50510.0,41993.0,48988.0,61281.0,58993.0,46818.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz > 3,5t hzG",6017.0,7740.0,6360.0,8156.0,7762.0,2714.0,668.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz <= 3,5t hzG",45385.0,42770.0,35633.0,40832.0,53519.0,56279.0,46150.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,Kfz,94842.0,94448.0,88047.0,91642.0,106866.0,98577.0,92334.0,"3,2% Tage geschätzt",
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz > 3,5t hzG",11729.0,15273.0,15969.0,15923.0,13028.0,4325.0,1487.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz <= 3,5t hzG",83113.0,79175.0,72078.0,75719.0,93838.0,94252.0,90847.0,"3,2% Tage geschätzt",
